filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
850;1,000000e+00;8,531942e+02;8,500122e+02;1,167352e+01;9,863179e+01;1,085151e+00;4,424195e-02;1,838891e-03;4,135698e-02;1,804244e-03;9,959049e-01;1,910019e+00;1,803968e-01;8,315737e+00;8,063343e+00;2,523943e-01;1,833313e-01;5,933946e-02;1,239919e-01;6,906291e-02;1,822186e-01;1,667346e-01;1,548405e-02;1,848963e+01
900;1,000000e+00;9,032694e+02;9,000143e+02;1,194281e+01;9,867782e+01;1,114413e+00;4,841156e-02;2,047830e-03;4,552142e-02;2,015325e-03;1,016414e+00;1,922537e+00;1,832322e-01;8,522519e+00;8,246156e+00;2,763633e-01;2,032763e-01;6,556738e-02;1,377089e-01;7,308701e-02;2,001105e-01;1,846657e-01;1,544480e-02;1,746756e+01
950;1,000000e+00;9,533489e+02;9,500166e+02;1,217559e+01;9,872286e+01;1,145324e+00;5,281689e-02;2,268352e-03;4,992084e-02;2,231524e-03;1,038083e+00;1,935852e+00;1,862396e-01;8,688692e+00;8,387084e+00;3,016078e-01;2,243958e-01;7,217292e-02;1,522229e-01;7,721201e-02;2,194800e-01;2,036639e-01;1,581616e-02;1,651342e+01
1000;1,000000e+00;1,003433e+03;1,000019e+03;1,241410e+01;9,876284e+01;1,177945e+00;5,742240e-02;2,496448e-03;5,454618e-02;2,465213e-03;1,060994e+00;1,949947e+00;1,896474e-01;8,856972e+00;8,528895e+00;3,280776e-01;2,466559e-01;7,913069e-02;1,675252e-01;8,142169e-02;2,395867e-01;2,236908e-01;1,589592e-02;1,569194e+01
1050;1,000000e+00;1,053521e+03;1,050022e+03;1,265728e+01;9,879857e+01;1,212326e+00;6,227086e-02;2,743834e-03;5,941205e-02;2,719294e-03;1,085159e+00;1,964837e+00;1,931466e-01;9,026344e+00;8,670595e+00;3,557498e-01;2,700807e-01;8,646473e-02;1,836160e-01;8,566915e-02;2,606228e-01;2,447855e-01;1,583728e-02;1,489881e+01
1100;1,000000e+00;1,103614e+03;1,100025e+03;1,290459e+01;9,883070e+01;1,247906e+00;6,725668e-02;3,013429e-03;6,442513e-02;2,977503e-03;1,110231e+00;1,980468e+00;1,968048e-01;9,196779e+00;8,812225e+00;3,845539e-01;2,945839e-01;9,411806e-02;2,004658e-01;8,997007e-02;2,826325e-01;2,668561e-01;1,577642e-02;1,424892e+01
1150;1,000000e+00;1,153711e+03;1,150029e+03;1,315741e+01;9,885956e+01;1,285157e+00;7,255237e-02;3,263372e-03;6,967960e-02;3,240871e-03;1,136419e+00;1,996797e+00;2,008730e-01;9,368903e+00;8,954358e+00;4,145454e-01;3,202331e-01;1,021248e-01;2,181083e-01;9,431229e-02;3,056812e-01;2,899693e-01;1,571192e-02;1,365587e+01
1200;1,000000e+00;1,203812e+03;1,200032e+03;1,341892e+01;9,888530e+01;1,324497e+00;7,810472e-02;3,553335e-03;7,522164e-02;3,489665e-03;1,164126e+00;2,013896e+00;2,052796e-01;9,545471e+00;9,099738e+00;4,457330e-01;3,470389e-01;1,104869e-01;2,365520e-01;9,869409e-02;3,297797e-01;3,141302e-01;1,564958e-02;1,308032e+01
1250;1,000000e+00;1,253917e+03;1,250037e+03;1,368513e+01;9,890861e+01;1,365665e+00;8,389127e-02;3,858406e-03;8,101207e-02;3,820672e-03;1,193081e+00;2,031944e+00;2,105003e-01;9,722503e+00;9,244447e+00;4,780558e-01;3,749925e-01;1,192138e-01;2,557787e-01;1,030634e-01;3,545163e-01;3,393384e-01;1,517792e-02;1,265053e+01
1300;1,000000e+00;1,304027e+03;1,300041e+03;1,395697e+01;9,892970e+01;1,408341e+00;8,993268e-02;4,166778e-03;8,700896e-02;4,125422e-03;1,223106e+00;2,050667e+00;2,156469e-01;9,901600e+00;9,390073e+00;5,115274e-01;4,040762e-01;1,282870e-01;2,757893e-01;1,074512e-01;3,807137e-01;3,655757e-01;1,513804e-02;1,221221e+01
1350;1,000000e+00;1,354141e+03;1,350046e+03;1,423480e+01;9,894879e+01;1,452674e+00;9,620057e-02;4,431454e-03;9,326445e-02;4,445823e-03;1,254331e+00;2,070065e+00;2,205298e-01;1,008356e+01;9,537374e+00;5,461902e-01;4,343183e-01;1,377186e-01;2,965996e-01;1,118719e-01;4,079684e-01;3,928728e-01;1,509566e-02;1,171301e+01
1400;1,000000e+00;1,404260e+03;1,400051e+03;1,451777e+01;9,896616e+01;1,498872e+00;1,027062e-01;4,794456e-03;9,972644e-02;4,778256e-03;1,286866e+00;2,090630e+00;2,257086e-01;1,026627e+01;9,684231e+00;5,820421e-01;4,657106e-01;1,475217e-01;3,181888e-01;1,163315e-01;4,362833e-01;4,212241e-01;1,505928e-02;1,125919e+01
1450;1,000000e+00;1,454382e+03;1,450057e+03;1,480595e+01;9,898198e+01;1,546857e+00;1,094492e-01;5,172836e-03;1,064421e-01;5,106781e-03;1,320685e+00;2,111993e+00;2,314647e-01;1,044995e+01;9,830850e+00;6,191005e-01;4,982691e-01;1,576908e-01;3,405783e-01;1,208314e-01;4,656834e-01;4,506470e-01;1,503644e-02;1,087013e+01
1500;1,000000e+00;1,504509e+03;1,500063e+03;1,509901e+01;9,899642e+01;1,596573e+00;1,164238e-01;5,534144e-03;1,134050e-01;5,478981e-03;1,355730e+00;2,134046e+00;2,376926e-01;1,063452e+01;9,977152e+00;6,573678e-01;5,319957e-01;1,682299e-01;3,637659e-01;1,253721e-01;4,961753e-01;4,811430e-01;1,503233e-02;1,052044e+01
1550;1,000000e+00;1,554641e+03;1,550069e+03;1,539794e+01;9,900955e+01;1,647964e+00;1,236282e-01;5,911688e-03;1,205953e-01;5,849431e-03;1,391980e+00;2,156725e+00;2,439119e-01;1,082161e+01;1,012481e+01;6,968045e-01;5,668520e-01;1,791106e-01;3,877414e-01;1,299525e-01;5,277270e-01;5,126847e-01;1,504229e-02;1,016643e+01
1600;1,000000e+00;1,604777e+03;1,600076e+03;1,570215e+01;9,902154e+01;1,700979e+00;1,310701e-01;6,260430e-03;1,280309e-01;6,236852e-03;1,429380e+00;2,180136e+00;2,507067e-01;1,100999e+01;1,027257e+01;7,374261e-01;6,028531e-01;1,903456e-01;4,125075e-01;1,345730e-01;5,603356e-01;5,452807e-01;1,505488e-02;9,891667e+00
1650;1,000000e+00;1,654917e+03;1,650083e+03;1,600936e+01;9,903262e+01;1,755473e+00;1,387396e-01;6,568091e-03;1,356830e-01;6,486755e-03;1,467995e+00;2,204478e+00;2,573333e-01;1,119810e+01;1,041887e+01;7,792274e-01;6,399884e-01;2,019248e-01;4,380636e-01;1,392389e-01;5,939818e-01;5,789230e-01;1,505874e-02;9,567826e+00
1700;1,000000e+00;1,705062e+03;1,700091e+03;1,632038e+01;9,904283e+01;1,811014e+00;1,466085e-01;6,746304e-03;1,435672e-01;6,761830e-03;1,507329e+00;2,229566e+00;2,641218e-01;1,138656e+01;1,056432e+01;8,222456e-01;6,782961e-01;2,138973e-01;4,643988e-01;1,439495e-01;6,291134e-01;6,136506e-01;1,546284e-02;9,245680e+00
1750;1,000000e+00;1,755211e+03;1,750099e+03;1,663575e+01;9,905221e+01;1,868156e+00;1,546929e-01;6,906433e-03;1,516705e-01;6,961444e-03;1,547924e+00;2,255323e+00;2,713372e-01;1,157611e+01;1,070970e+01;8,664114e-01;7,177066e-01;2,261913e-01;4,915153e-01;1,487048e-01;6,648245e-01;6,493977e-01;1,542684e-02;8,998895e+00
1800;1,000000e+00;1,805365e+03;1,800108e+03;1,695787e+01;9,906070e+01;1,926893e+00;1,630226e-01;7,084138e-03;1,599866e-01;7,048912e-03;1,589760e+00;2,281987e+00;2,785946e-01;1,176839e+01;1,085664e+01;9,117507e-01;7,582528e-01;2,388289e-01;5,194240e-01;1,534979e-01;7,020084e-01;6,862056e-01;1,580283e-02;8,735810e+00
1850;1,000000e+00;1,855522e+03;1,850117e+03;1,728495e+01;9,906846e+01;1,987534e+00;1,715980e-01;7,295595e-03;1,685279e-01;7,136831e-03;1,632976e+00;2,309958e+00;2,858506e-01;1,196181e+01;1,100355e+01;9,582532e-01;7,999329e-01;2,518118e-01;5,481211e-01;1,583203e-01;7,398029e-01;7,240624e-01;1,574059e-02;8,444059e+00
