filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
1650;1,000000e+00;6,742002e+01;6,741509e+01;6,742719e+01;6,740019e+01;6,738526e+01;6,739437e+01;5,782100e+01;4,524197e+01;4,547260e+01;3,771005e+01;3,785484e+01
1700;1,000000e+00;6,743209e+01;6,742849e+01;6,744159e+01;6,741438e+01;6,739869e+01;6,740550e+01;5,783114e+01;4,529879e+01;4,552867e+01;3,774483e+01;3,788916e+01
1750;1,000000e+00;6,744504e+01;6,744193e+01;6,745565e+01;6,742868e+01;6,741250e+01;6,741822e+01;5,784161e+01;4,535622e+01;4,558634e+01;3,777998e+01;3,792446e+01
1800;1,000000e+00;6,745819e+01;6,745583e+01;6,747031e+01;6,744351e+01;6,742605e+01;6,743108e+01;5,785231e+01;4,541631e+01;4,564574e+01;3,781674e+01;3,796082e+01
1850;1,000000e+00;6,747182e+01;6,746976e+01;6,748496e+01;6,745816e+01;6,744007e+01;6,744443e+01;5,786317e+01;4,547701e+01;4,570680e+01;3,785389e+01;3,799819e+01
1900;1,000000e+00;6,748580e+01;6,748385e+01;6,749970e+01;6,747310e+01;6,745439e+01;6,745730e+01;5,787412e+01;4,553951e+01;4,576957e+01;3,789214e+01;3,803661e+01
1950;1,000000e+00;6,750026e+01;6,749792e+01;6,751440e+01;6,748757e+01;6,746796e+01;6,747147e+01;5,788513e+01;4,560382e+01;4,583399e+01;3,793150e+01;3,807604e+01
2000;1,000000e+00;6,751500e+01;6,751223e+01;6,752880e+01;6,750253e+01;6,748256e+01;6,748598e+01;5,789641e+01;4,567011e+01;4,590021e+01;3,797207e+01;3,811656e+01
2050;1,000000e+00;6,752988e+01;6,752681e+01;6,754362e+01;6,751714e+01;6,749675e+01;6,750102e+01;5,790777e+01;4,576969e+01;4,599979e+01;3,803354e+01;3,817803e+01
2100;1,000000e+00;6,754359e+01;6,754141e+01;6,755875e+01;6,753268e+01;6,751251e+01;6,751546e+01;5,791927e+01;4,583925e+01;4,606955e+01;3,807611e+01;3,822072e+01
2150;1,000000e+00;6,755811e+01;6,755599e+01;6,757394e+01;6,754743e+01;6,752700e+01;6,753007e+01;5,793063e+01;4,591075e+01;4,614127e+01;3,811987e+01;3,826462e+01
2200;1,000000e+00;6,757367e+01;6,757141e+01;6,758951e+01;6,756346e+01;6,754245e+01;6,754633e+01;5,794279e+01;4,598363e+01;4,621464e+01;3,816447e+01;3,830952e+01
2250;1,000000e+00;6,758909e+01;6,758658e+01;6,760511e+01;6,757908e+01;6,755830e+01;6,756184e+01;5,795480e+01;4,605930e+01;4,628964e+01;3,821077e+01;3,835542e+01
2300;1,000000e+00;6,760421e+01;6,760180e+01;6,762096e+01;6,759548e+01;6,757391e+01;6,757707e+01;5,796684e+01;4,613502e+01;4,636652e+01;3,825712e+01;3,840247e+01
2350;1,000000e+00;6,761774e+01;6,761702e+01;6,763672e+01;6,761100e+01;6,758924e+01;6,759097e+01;5,797835e+01;4,621116e+01;4,644278e+01;3,830372e+01;3,844916e+01
2400;1,000000e+00;6,763439e+01;6,763183e+01;6,765229e+01;6,762666e+01;6,760491e+01;6,760755e+01;5,799059e+01;4,629281e+01;4,652636e+01;3,835368e+01;3,850028e+01
2450;1,000000e+00;6,765178e+01;6,764405e+01;6,766803e+01;6,764173e+01;6,761997e+01;6,762504e+01;5,800257e+01;4,637581e+01;4,660827e+01;3,840447e+01;3,855041e+01
2500;1,000000e+00;6,766794e+01;6,765638e+01;6,768186e+01;6,765306e+01;6,762885e+01;6,764151e+01;5,801276e+01;4,645796e+01;4,669176e+01;3,845474e+01;3,860149e+01
2550;1,000000e+00;6,768503e+01;6,767404e+01;6,769370e+01;6,767071e+01;6,764609e+01;6,765854e+01;5,802546e+01;4,656021e+01;4,679626e+01;3,851764e+01;3,866575e+01
2600;1,000000e+00;6,770263e+01;6,769169e+01;6,771127e+01;6,768869e+01;6,766415e+01;6,767641e+01;5,803922e+01;4,664796e+01;4,688343e+01;3,857132e+01;3,871909e+01
2650;1,000000e+00;6,772009e+01;6,770933e+01;6,772911e+01;6,770684e+01;6,768199e+01;6,769378e+01;5,805292e+01;4,673660e+01;4,697180e+01;3,862555e+01;3,877316e+01
