filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;GaN_total_losses;GaN_switching_losses;GaN_ohmic_losses;L_losses;iTHD_percentage;Si_conduction;Si_switching;Si_total;EMI_losses
950;1,300000e+00;9,529543e+02;9,500160e+02;2,373200e+01;9,750194e+01;9,065527e-01;5,242653e-02;1,931227e-03;4,957921e-02;1,994077e-03;8,006212e-01;1,821917e+01;2,539693e+00;1,567948e+01;1,931762e+00;1,667848e+01;2,503257e+00;1,353572e-04;2,503392e+00;1,711229e-01
1000;1,300000e+00;1,003004e+03;1,000019e+03;2,477889e+01;9,752216e+01;9,160255e-01;5,701904e-02;2,040425e-03;5,417128e-02;2,128686e-03;8,006655e-01;1,910208e+01;2,582613e+00;1,651947e+01;1,944916e+00;1,581560e+01;2,641361e+00;2,602985e-04;2,641621e+00;1,742404e-01
1050;1,300000e+00;1,053057e+03;1,050022e+03;2,583230e+01;9,753983e+01;9,262307e-01;6,185319e-02;2,291572e-03;5,900812e-02;2,364686e-03;8,007121e-01;1,998783e+01;2,623329e+00;1,736450e+01;1,959940e+00;1,508548e+01;2,779950e+00;3,550987e-04;2,780305e+00;1,779899e-01
1100;1,300000e+00;1,103112e+03;1,100025e+03;2,688897e+01;9,755560e+01;9,367008e-01;6,690416e-02;2,449764e-03;6,405997e-02;2,525386e-03;8,007609e-01;2,087514e+01;2,662318e+00;1,821283e+01;1,975487e+00;1,450796e+01;2,919265e+00;3,364294e-04;2,919601e+00;1,820344e-01
1150;1,300000e+00;1,153170e+03;1,150028e+03;2,795189e+01;9,756946e+01;9,478801e-01;7,219933e-02;2,693241e-03;6,936046e-02;2,814363e-03;8,008121e-01;2,176571e+01;2,700133e+00;1,906558e+01;1,991871e+00;1,396622e+01;3,059456e+00;6,962313e-04;3,060152e+00;1,862788e-01
1200;1,300000e+00;1,203231e+03;1,200032e+03;2,901815e+01;9,758189e+01;9,593018e-01;7,771788e-02;2,828504e-03;7,488109e-02;3,008364e-03;8,008655e-01;2,265811e+01;2,736147e+00;1,992197e+01;2,008839e+00;1,337075e+01;3,200276e+00;8,379703e-04;3,201114e+00;1,907812e-01
1250;1,300000e+00;1,253295e+03;1,250036e+03;3,008992e+01;9,759288e+01;9,712056e-01;8,347474e-02;2,988667e-03;8,062878e-02;3,191891e-03;8,009211e-01;2,355372e+01;2,770740e+00;2,078298e+01;2,026514e+00;1,302337e+01;3,342018e+00;5,540931e-04;3,342572e+00;1,959065e-01
1300;1,300000e+00;1,303361e+03;1,300041e+03;3,116843e+01;9,760250e+01;9,837140e-01;8,946511e-02;3,194893e-03;8,661894e-02;3,455443e-03;8,009791e-01;2,445378e+01;2,804346e+00;2,164943e+01;2,045008e+00;1,250268e+01;3,484651e+00;3,244105e-04;3,484975e+00;2,009566e-01
1350;1,300000e+00;1,353430e+03;1,350046e+03;3,225132e+01;9,761109e+01;9,968885e-01;9,568048e-02;3,502596e-03;9,284105e-02;3,824047e-03;8,010393e-01;2,535581e+01;2,837227e+00;2,251859e+01;2,064630e+00;1,206279e+01;3,627587e+00;1,244322e-04;3,627712e+00;2,062734e-01
1400;1,300000e+00;1,403502e+03;1,400051e+03;3,333784e+01;9,761881e+01;1,010276e+00;1,021336e-01;3,736890e-03;9,928152e-02;4,022017e-03;8,011018e-01;2,625969e+01;2,869092e+00;2,339060e+01;2,084914e+00;1,159471e+01;3,771150e+00;4,676148e-05;3,771196e+00;2,117669e-01
1450;1,300000e+00;1,453576e+03;1,450056e+03;3,442754e+01;9,762578e+01;1,024059e+00;1,088143e-01;3,889468e-03;1,059572e-01;4,230903e-03;8,011665e-01;2,716522e+01;2,900055e+00;2,426517e+01;2,105895e+00;1,120085e+01;3,914708e+00;4,672922e-05;3,914755e+00;2,176123e-01
1500;1,300000e+00;1,503654e+03;1,500062e+03;3,552175e+01;9,763198e+01;1,038350e+00;1,157318e-01;4,100443e-03;1,128674e-01;4,416862e-03;8,012336e-01;2,807324e+01;2,930407e+00;2,514283e+01;2,127802e+00;1,083844e+01;4,058529e+00;4,669884e-05;4,058576e+00;2,237830e-01
1550;1,300000e+00;1,553734e+03;1,550069e+03;3,662197e+01;9,763740e+01;1,053056e+00;1,228770e-01;4,292941e-03;1,199945e-01;4,584724e-03;8,013029e-01;2,898545e+01;2,960619e+00;2,602483e+01;2,150401e+00;1,050916e+01;4,202815e+00;4,667175e-05;4,202861e+00;2,302038e-01
1600;1,300000e+00;1,603817e+03;1,600076e+03;3,772819e+01;9,764210e+01;1,068517e+00;1,302714e-01;4,561590e-03;1,273839e-01;4,924044e-03;8,013745e-01;2,990123e+01;2,990560e+00;2,691067e+01;2,173925e+00;1,023655e+01;4,347362e+00;7,835512e-05;4,347441e+00;2,370772e-01
1650;1,300000e+00;1,653903e+03;1,650083e+03;3,884187e+01;9,764607e+01;1,084829e+00;1,378935e-01;4,993821e-03;1,350303e-01;5,462092e-03;8,014484e-01;3,082126e+01;3,020315e+00;2,780095e+01;2,198939e+00;9,937587e+00;4,492395e+00;2,642587e-04;4,492659e+00;2,441807e-01
1700;1,300000e+00;1,703992e+03;1,700091e+03;3,996062e+01;9,764950e+01;1,101162e+00;1,457520e-01;5,168540e-03;1,429159e-01;5,800723e-03;8,015246e-01;3,174541e+01;3,050005e+00;2,869540e+01;2,224478e+00;9,627526e+00;4,637715e+00;3,059354e-04;4,638021e+00;2,515567e-01
1750;1,300000e+00;1,754084e+03;1,750099e+03;4,108304e+01;9,765253e+01;1,117707e+00;1,538036e-01;5,310348e-03;1,509480e-01;6,042003e-03;8,016028e-01;3,267256e+01;3,079590e+00;2,959297e+01;2,250707e+00;9,322042e+00;4,782929e+00;3,039783e-04;4,783233e+00;2,588355e-01
1800;1,300000e+00;1,804179e+03;1,800108e+03;4,221081e+01;9,765510e+01;1,134891e+00;1,621325e-01;5,553292e-03;1,592683e-01;6,253104e-03;8,016836e-01;3,360353e+01;3,109323e+00;3,049421e+01;2,277495e+00;9,063236e+00;4,928054e+00;1,318261e-04;4,928186e+00;2,667023e-01
1850;1,300000e+00;1,854276e+03;1,850117e+03;4,334531e+01;9,765716e+01;1,152606e+00;1,706748e-01;5,701468e-03;1,679053e-01;6,557430e-03;8,017668e-01;3,453890e+01;3,139193e+00;3,139970e+01;2,305527e+00;8,797190e+00;5,073083e+00;4,654007e-05;5,073130e+00;2,751511e-01
1900;1,300000e+00;1,904377e+03;1,900126e+03;4,448647e+01;9,765876e+01;1,171216e+00;1,795462e-01;6,029673e-03;1,768560e-01;6,930970e-03;8,018525e-01;3,547817e+01;3,168909e+00;3,230927e+01;2,334847e+00;8,481279e+00;5,218034e+00;4,651165e-05;5,218081e+00;2,841527e-01
1950;1,300000e+00;1,954480e+03;1,950137e+03;4,563172e+01;9,766008e+01;1,189403e+00;1,885772e-01;6,003768e-03;1,859157e-01;6,966080e-03;8,019402e-01;3,642131e+01;3,198414e+00;3,322289e+01;2,364666e+00;8,215373e+00;5,363215e+00;4,648469e-05;5,363261e+00;2,930856e-01
2000;1,300000e+00;2,004586e+03;2,000147e+03;4,678339e+01;9,766100e+01;1,208562e+00;1,978655e-01;6,259497e-03;1,952269e-01;7,179359e-03;8,020302e-01;3,736854e+01;3,227582e+00;3,414095e+01;2,395340e+00;7,992791e+00;5,508622e+00;4,645900e-05;5,508669e+00;3,022871e-01
2050;1,300000e+00;2,054696e+03;2,050159e+03;4,793966e+01;9,766166e+01;1,228273e+00;2,073808e-01;6,455940e-03;2,047851e-01;7,527976e-03;8,021225e-01;3,831849e+01;3,256615e+00;3,506188e+01;2,426716e+00;7,831628e+00;5,654258e+00;4,643795e-05;5,654305e+00;3,118785e-01
2100;1,300000e+00;2,104808e+03;2,100170e+03;4,910165e+01;9,766202e+01;1,248147e+00;2,171242e-01;6,720258e-03;2,145090e-01;7,575846e-03;8,022169e-01;3,927299e+01;3,285866e+00;3,598712e+01;2,458828e+00;7,678129e+00;5,800034e+00;4,642520e-05;5,800081e+00;3,216025e-01
2150;1,300000e+00;2,154924e+03;2,150183e+03;5,026967e+01;9,766207e+01;1,268697e+00;2,271034e-01;6,818119e-03;2,245007e-01;7,960608e-03;8,023137e-01;4,023121e+01;3,316024e+00;3,691519e+01;2,491987e+00;7,493235e+00;5,946105e+00;4,641792e-05;5,946152e+00;3,316201e-01
2200;1,300000e+00;2,205042e+03;2,200196e+03;5,144230e+01;9,766192e+01;1,288620e+00;2,372967e-01;6,554353e-03;2,346565e-01;7,699670e-03;8,024126e-01;4,119303e+01;3,346924e+00;3,784610e+01;2,526026e+00;7,315907e+00;6,092662e+00;4,640906e-05;6,092708e+00;3,419217e-01
2250;1,300000e+00;2,255164e+03;2,250210e+03;5,262232e+01;9,766145e+01;1,310059e+00;2,477479e-01;6,628320e-03;2,450877e-01;8,080438e-03;8,025139e-01;4,215861e+01;3,378033e+00;3,878057e+01;2,561679e+00;7,123010e+00;6,239560e+00;4,639477e-05;6,239606e+00;3,523743e-01
2300;1,300000e+00;2,305288e+03;2,300224e+03;5,380854e+01;9,766073e+01;1,332420e+00;2,584677e-01;7,079729e-03;2,557565e-01;8,498155e-03;8,026174e-01;4,312798e+01;3,408898e+00;3,971908e+01;2,598470e+00;6,878308e+00;6,386546e+00;4,638219e-05;6,386592e+00;3,630825e-01
2350;1,300000e+00;2,355416e+03;2,350239e+03;5,499919e+01;9,765985e+01;1,354941e+00;2,694078e-01;7,367766e-03;2,666455e-01;8,796410e-03;8,027232e-01;4,410109e+01;3,438890e+00;4,066220e+01;2,635863e+00;6,728102e+00;6,533138e+00;4,637523e-05;6,533184e+00;3,741179e-01
2400;1,300000e+00;2,405547e+03;2,400254e+03;5,619543e+01;9,765877e+01;1,378211e+00;2,806141e-01;8,051893e-03;2,777555e-01;8,958235e-03;8,028315e-01;4,507890e+01;3,467843e+00;4,161105e+01;2,673529e+00;6,577839e+00;6,679400e+00;4,637139e-05;6,679446e+00;3,853497e-01
2450;1,300000e+00;2,455681e+03;2,450270e+03;5,741151e+01;9,765693e+01;1,401547e+00;2,920517e-01;8,778210e-03;2,890571e-01;8,717588e-03;8,029418e-01;4,607444e+01;3,499840e+00;4,257460e+01;2,711856e+00;6,555424e+00;6,826658e+00;4,638127e-05;6,826704e+00;3,969640e-01
2500;1,300000e+00;2,505818e+03;2,500287e+03;5,861597e+01;9,765563e+01;1,424706e+00;3,036651e-01;9,031564e-03;3,005877e-01;8,366884e-03;8,030545e-01;4,705825e+01;3,528329e+00;4,352992e+01;2,751135e+00;6,472648e+00;6,973080e+00;4,640011e-05;6,973126e+00;4,087554e-01
2550;1,300000e+00;2,555958e+03;2,550305e+03;5,982304e+01;9,765428e+01;1,449158e+00;3,155021e-01;9,204293e-03;3,124374e-01;8,844478e-03;8,031696e-01;4,804215e+01;3,556408e+00;4,448574e+01;2,791580e+00;6,323946e+00;7,119275e+00;1,242277e-04;7,119400e+00;4,207572e-01
2600;1,300000e+00;2,606101e+03;2,600323e+03;6,103838e+01;9,765266e+01;1,473356e+00;3,275703e-01;9,445770e-03;3,244596e-01;8,592856e-03;8,032868e-01;4,903154e+01;3,585672e+00;4,544587e+01;2,835067e+00;6,194813e+00;7,265377e+00;4,643860e-05;7,265423e+00;4,329917e-01
2650;1,300000e+00;2,656247e+03;2,650342e+03;6,225818e+01;9,765094e+01;1,498255e+00;3,398137e-01;8,896876e-03;3,367763e-01;9,361375e-03;8,034063e-01;5,002537e+01;3,615511e+00;4,640986e+01;2,877354e+00;6,028892e+00;7,411764e+00;4,643940e-05;7,411810e+00;4,453904e-01
2700;1,300000e+00;2,706397e+03;2,700362e+03;6,348328e+01;9,764908e+01;1,522437e+00;3,522326e-01;7,620549e-03;3,493047e-01;9,750678e-03;8,035280e-01;5,102370e+01;3,645843e+00;4,737786e+01;2,920433e+00;5,937532e+00;7,558548e+00;4,644292e-05;7,558595e+00;4,581134e-01
2750;1,300000e+00;2,756550e+03;2,750382e+03;6,471601e+01;9,764702e+01;1,547054e+00;3,649095e-01;6,504394e-03;3,620386e-01;9,948698e-03;8,036520e-01;5,202725e+01;3,676582e+00;4,835066e+01;2,964706e+00;5,881345e+00;7,705782e+00;5,981112e-05;7,705842e+00;4,711655e-01
2800;1,300000e+00;2,806706e+03;2,800403e+03;6,596754e+01;9,764436e+01;1,575702e+00;3,781416e-01;9,726086e-03;3,749126e-01;9,143744e-03;8,037781e-01;5,304349e+01;3,709383e+00;4,933411e+01;3,009865e+00;5,853510e+00;7,853962e+00;4,645942e-05;7,854009e+00;4,844731e-01
2850;1,300000e+00;2,856865e+03;2,850425e+03;6,721154e+01;9,764205e+01;1,603150e+00;3,914405e-01;1,079643e-02;3,880986e-01;8,907529e-03;8,039067e-01;5,405240e+01;3,740430e+00;5,031197e+01;3,056224e+00;5,764213e+00;8,001702e+00;4,647226e-05;8,001748e+00;4,980226e-01
2900;1,300000e+00;2,907028e+03;2,900448e+03;6,845813e+01;9,763974e+01;1,628568e+00;4,047699e-01;9,542296e-03;4,015121e-01;8,705625e-03;8,040374e-01;5,506468e+01;3,771690e+00;5,129299e+01;3,103410e+00;5,675325e+00;8,149612e+00;7,792319e-05;8,149690e+00;5,117851e-01
2950;1,300000e+00;2,957193e+03;2,950471e+03;6,971635e+01;9,763711e+01;1,657564e+00;4,184928e-01;1,021282e-02;4,152490e-01;9,439153e-03;8,041705e-01;5,608129e+01;3,803326e+00;5,227796e+01;3,153789e+00;5,595998e+00;8,297771e+00;4,650965e-05;8,297817e+00;5,258937e-01
3000;1,300000e+00;3,007362e+03;3,000495e+03;7,097679e+01;9,763450e+01;1,686935e+00;4,325369e-01;1,160205e-02;4,291420e-01;9,347661e-03;8,043058e-01;5,710065e+01;3,834951e+00;5,326570e+01;3,203068e+00;5,496038e+00;8,445909e+00;4,650943e-05;8,445956e+00;5,401844e-01
3050;1,300000e+00;3,057534e+03;3,050520e+03;7,224577e+01;9,763169e+01;1,718867e+00;4,468644e-01;1,340423e-02;4,433749e-01;1,077944e-02;8,044434e-01;5,812434e+01;3,866854e+00;5,425749e+01;3,253419e+00;5,378618e+00;8,594366e+00;4,650764e-05;8,594412e+00;5,547319e-01
3100;1,300000e+00;3,107710e+03;3,100546e+03;7,352058e+01;9,762879e+01;1,750798e+00;4,613129e-01;1,410733e-02;4,579211e-01;1,287272e-02;8,045833e-01;5,915221e+01;3,899445e+00;5,525277e+01;3,304836e+00;5,294364e+00;8,743099e+00;4,650486e-05;8,743146e+00;5,695944e-01
3150;1,300000e+00;3,157888e+03;3,150573e+03;7,480018e+01;9,762582e+01;1,781974e+00;4,759830e-01;1,466399e-02;4,726180e-01;1,398307e-02;8,047254e-01;6,018432e+01;3,932694e+00;5,625163e+01;3,357043e+00;5,217234e+00;8,892124e+00;4,650275e-05;8,892171e+00;5,846754e-01
3200;1,300000e+00;3,208070e+03;3,200601e+03;7,608540e+01;9,762278e+01;1,812694e+00;4,908415e-01;1,471656e-02;4,875134e-01;1,475227e-02;8,048697e-01;6,122123e+01;3,966507e+00;5,725473e+01;3,410118e+00;5,168372e+00;9,041284e+00;4,650084e-05;9,041331e+00;6,000267e-01
