"Time / s","Input_power","Output_power","Losses","Efficency","Caps_losses","FL1_losses","HF1_losses","FL2_losses","HF2_losses","Bulkcap_losses","GaN_total_losses","GaN_switching_losses","GaN_ohmic_losses","L_losses","iTHD_percentage","Si_conduction","Si_switching","Si_total","EMI_losses"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000001,538.04497971210401,107.85863242158189,4590.3149618233001,-3427.7279629183527,4571.9361152316324,0.26102003348002101,0.013420730030918039,0.25610782182595548,0.013471342676606995,4571.6054532461676,13.842909138867585,1.8876127429944429,11.95529639584476,2.275509139517188,141.91944236679646,1.9626049918375634,0.00050715348464081933,1.9631121453233382,0.29731616864583926
0.20000000000000001,-40.47134665359934,125.6589338817888,8.0102497693671584,93.621969276647718,1.0240552747599549,0.0073258985961323188,1.5951048188682896e-05,0.0007521759769168135,0,0.99533508486124767,4.5627141421864437,1.7028465718888131,2.8598675703084777,2.113040687379014,245.14397818841402,0.24266039935436615,0.0011781873512475109,0.24383858670547426,0.066601078339996761
0.30000000000000004,-42.355366081017465,113.27838713904691,7.8458720822990529,93.068655335099081,0.92535799426724419,0.0073595932126046025,2.9402585498520127e-05,0.0015544234926505975,0,0.89692138010697997,4.6059221854476462,1.7008650282389584,2.9050571572054689,1.9905365816033407,237.72615981865584,0.24516893352501032,0.001099053860235816,0.24626798738523414,0.077787333601862754
0.40000000000000002,-10.179607920899711,101.94710197731017,7.6357415599891505,92.500782810924235,0.83049504529908413,0.0070541506565848303,6.9801608336689364e-05,0.0015423580988564282,5.7775333676701505e-05,0.80978653975165682,4.7073398341043182,1.7357319532272359,2.971607880879275,1.8422634879612791,235.19476597685966,0.23957270995038021,0.00092968490188948211,0.24050239485201147,0.015140797767014998
0.5,111.79976868892744,100.09590299386747,8.5209501180191491,91.486447317421693,0.8140530007322736,0.008531524573557393,0.00021846289639459811,0.0043980391831441139,0.00016831062969195772,0.80126746895812917,5.387370497444306,1.7483215759845989,3.6390489214549286,1.8062849339385905,149.36306116848704,0.45644635411752055,0.0016521951860990897,0.45809854930452965,0.055143136603857154
0.60000000000000009,107.69960576274279,100.01054494072764,8.3952405497536251,91.605441666469318,0.81300411569701314,0.0083688992977818174,0.00021179751527729049,0.0041820630913119803,0.00016037215462538911,0.8005148857305856,5.2918307378119342,1.7478390654958724,3.5439916723159097,1.8047672073982441,140.54434240307589,0.43087359911689199,0.0017341727411524595,0.43260777185878868,0.053030716980957023
0.70000000000000007,104.75113291190951,99.991207816586268,8.3538597684066271,91.645383514423756,0.81284488100379426,0.0083252936735719006,0.00021007701539934342,0.0041439069701238373,0.00015964034468023833,0.80024927320576145,5.2558903598472915,1.7472500837677514,3.5086402760816218,1.8048614139552017,141.82710918199064,0.4236948946510517,0.0019181868162276097,0.42561308146776233,0.054650032110980955
0.80000000000000004,103.27516495932834,99.991563360854741,8.3322447683291099,91.667051347255779,0.81288121505169297,0.0083062111618120091,0.00020896601548016532,0.0041413246233115188,0.00016036836834814076,0.8001802050189103,5.2390927719340779,1.7468690240361797,3.4922237479021394,1.8048341067299718,142.59989148612371,0.42149345979066871,0.001958646147530471,0.42345210593911503,0.051984568672676749
0.90000000000000013,102.68696595486304,99.995239707111622,8.3235743224380325,91.676029138999638,0.81294848349423032,0.0082917259570193819,0.00020776895860557732,0.0041481447991986373,0.00016137853782363429,0.80017548897875745,5.2323523409010964,1.7467313326161011,3.4856210082853245,1.8048136336192167,142.82947800338812,0.42087869487269508,0.0019632398308625388,0.42284193470294013,0.050617929709041797
1,102.50655916416065,99.997931834698861,8.3263783679574246,91.673449479093307,0.81297660626818369,0.0082789019184386671,0.00020653972590356758,0.0041339157618626816,0.00016026010408662727,0.80018451065089391,5.2329221379483455,1.7466904208762513,3.4862317170765835,1.804945863994027,142.79994160327996,0.42122208130928057,0.0019649237065243372,0.42318700501593326,0.052346754720307885
1.1000000000000001,102.47515554619842,99.9993002456102,8.320281091065393,91.679660684204634,0.81297485750490417,0.0082781815117824887,0.00020678972336043329,0.0041346431809952087,0.00016038814342232704,0.80019132622348554,5.2298803547352586,1.7466869602250545,3.4831933945174041,1.8048278369953574,142.75198860273485,0.42074664241101983,0.001965279732166301,0.42271192214273751,0.049886119694465776
