vds;ids;eon;eoff;vdsreal;idsreal;rdson;;
-575,44;125,893;0,0000428526;0,00140448;1,11718;125,648;0,00889137;;
-575,44;158,489;0,0000649141;0,00187441;1,23408;158,149;0,00780324;;
-575,44;199,526;0,000104532;0,00272334;1,3773;199,049;0,0069194;;
-575,44;251,189;0,000164321;0,00380735;1,55362;250,51;0,00620183;;
-575,44;316,228;0,000285877;0,00550382;1,77157;315,254;0,0056195;;
-575,44;398,107;0,000416062;0,00764335;2,04184;396,695;0,00514713;;
-575,44;500;0,000654181;0,0116081;2,37399;497,937;0,00476766;;
-524,807;0,1;0,00000000126756;0,000000244884;0,249602;0,0999524;2,4972;;
-524,807;0,125893;0,00000000140066;0,000000324487;0,264765;0,125829;2,10416;;
-524,807;0,158489;8,25441E-10;0,00000043751;0,280016;0,158405;1,76772;;
-524,807;0,199526;0,0000000013097;0,000000579516;0,295316;0,199414;1,48092;;
-524,807;0,251189;0,000000182191;0,000000775649;0,310742;0,25104;1,23782;;
-524,807;0,316228;0,0000000249577;0,00000102353;0,326188;0,316031;1,03214;;
-524,807;0,398107;0,00000000676847;0,00000135561;0,341743;0,397848;0,858978;;
-524,807;0,501187;0,00000000931929;0,00000178829;0,357381;0,500846;0,713555;;
-524,807;0,630957;0,00000000749712;0,00000234453;0,373062;0,630509;0,591684;;
-524,807;0,794328;0,00000000180678;0,00000309549;0,388868;0,79374;0,489919;;
-524,807;1;0,00000000593545;0,0000040172;0,405303;0,999228;0,405617;;
-524,807;1,25893;0,00000000732555;0,00000526578;0,421007;1,25792;0,334686;;
-524,807;1,58489;0,0000000192452;0,00000688489;0,437536;1,58357;0,276297;;
-524,807;1,99526;0,0000000146484;0,00000901972;0,453683;1,99354;0,227577;;
-524,807;2,51189;0,0000000304426;0,0000119134;0,470957;2,50963;0,18766;;
-524,807;3,16228;0,0000000530942;0,0000156264;0,489199;3,15933;0,154843;;
-524,807;3,98107;0,0000000837831;0,0000199423;0,735378;3,97549;0,184978;;
-524,807;5,01187;0,000000121712;0,0000260089;0,709036;5,0051;0,141663;;
-524,807;6,30957;0,000000173581;0,0000344154;0,511156;6,30343;0,0810917;;
-524,807;7,94328;0,000000252633;0,0000448684;0,564988;7,93473;0,0712044;;
-524,807;10;0,000000372661;0,0000580935;0,596941;9,98863;0,059762;;
-524,807;12,5893;0,000000726266;0,0000769757;0,607368;12,5747;0,0483009;;
-524,807;15,8489;0,0000012389;0,00010053;0,632061;15,8298;0,0399284;;
-524,807;19,9526;0,00000119151;0,000132906;0,656324;19,9277;0,0329353;;
-524,807;25,1189;0,00000189365;0,000173273;0,693876;25,0857;0,0276603;;
-524,807;31,6228;0,00000292299;0,000227211;0,730737;31,5787;0,0231401;;
-524,807;39,8107;0,00000451572;0,000306216;0,772469;39,7521;0,0194321;;
-524,807;50,1187;0,00000680943;0,00041019;0,820101;50,0404;0,0163888;;
-524,807;63,0957;0,0000106773;0,000547281;0,875796;62,9904;0,0139036;;
-524,807;79,4328;0,0000166099;0,000735166;0,941865;79,2903;0,0118787;;
-524,807;100;0,000025897;0,00101647;1,02115;99,8054;0,0102314;;
-524,807;125,893;0,0000431848;0,0013965;1,1171;125,625;0,00889233;;
-524,807;158,489;0,0000670158;0,00194922;1,23396;158,117;0,00780412;;
-524,807;199,526;0,000103223;0,00271769;1,37714;199,003;0,0069202;;
-524,807;251,189;0,000165831;0,00378036;1,5534;250,445;0,00620256;;
-524,807;316,228;0,000276335;0,00540217;1,77126;315,16;0,00562018;;
-524,807;398,107;0,00043418;0,00796331;2,04139;396,559;0,00514776;;
-524,807;500;0,000651226;0,0115451;2,37335;497,739;0,00476825;;
