"Time / s","GaNFET 1","GaNFET 2","GaNFET 3","GaNFET 4","GaNFET 5","GaNFET 6","MOSFET 7","MOSFET 8"
0,0,0,0,0,0,0,0,0
0.10000000000000001,28.108050863046053,28.106196926226129,28.110743934109891,30.457262658326083,30.457526355292973,30.453792408891857,25.01524068788952,25.661085623185144
0.20000000000000001,29.968869831828261,29.970417331872586,29.967982805364549,30.37598928749367,30.379761719595194,30.376928835580078,25.084658529657087,26.149362285733968
0.30000000000000004,29.586419780226535,29.586870020911942,29.587482143603676,29.581455979507211,29.581888526869584,29.580684530389334,25.282747927445872,26.324617738432451
0.40000000000000002,29.840963802105598,29.841450424773655,29.841578202942326,29.841330669979047,29.840733372203669,29.839458083926086,25.523223471435099,26.553990586815139
0.5,29.820979209779647,29.820989554372293,29.821430578306334,29.819934836419371,29.819589485214763,29.818043413045661,25.758601302635302,26.777805526472321
0.60000000000000009,29.805494784003027,29.805636379392986,29.806387595619857,29.803777022862356,29.803662500536053,29.802359874072764,25.991155767762887,26.998359496264257
0.70000000000000007,29.799313532385778,29.799664531399664,29.800389965749492,29.797254487040377,29.797206848483739,29.796085364514266,26.221163561571121,27.216340915994845
0.80000000000000004,29.797188155249003,29.79769701478244,29.798577924403332,29.794977914923656,29.7950904891362,29.794120489008311,26.448797842196992,27.432043502284564
0.90000000000000013,29.796753089670098,29.79710489651583,29.798087378518428,29.794365653803705,29.794585040421548,29.793464692228461,26.674129569286524,27.645568606437074
1,29.796759523401111,29.797290387007468,29.798220655322453,29.794424812744406,29.794600855388346,29.793659019473886,26.8971970189837,27.856946596087994
1.1000000000000001,29.796803947226248,29.797483375936881,29.798405283522076,29.794519269927033,29.794687331798503,29.793889018015623,27.118027976344916,28.066213379116675
