filename;Time / s;GaNFET 1;GaNFET 2;GaNFET 3;GaNFET 4;GaNFET 5;GaNFET 6;MOSFET 7;MOSFET 8
2100;1,300000e+00;5,070737e+01;5,069794e+01;5,071261e+01;5,071277e+01;5,069912e+01;5,070834e+01;4,450048e+01;4,541518e+01
2150;1,300000e+00;5,133465e+01;5,132492e+01;5,133995e+01;5,134014e+01;5,132614e+01;5,133563e+01;4,500637e+01;4,591816e+01
2200;1,300000e+00;5,196422e+01;5,195431e+01;5,196964e+01;5,196986e+01;5,195555e+01;5,196523e+01;4,551429e+01;4,642253e+01
2250;1,300000e+00;5,259624e+01;5,258614e+01;5,260183e+01;5,260207e+01;5,258741e+01;5,259728e+01;4,602397e+01;4,692817e+01
2300;1,300000e+00;5,323072e+01;5,322045e+01;5,323652e+01;5,323679e+01;5,322175e+01;5,323179e+01;4,653457e+01;4,743438e+01
2350;1,300000e+00;5,386764e+01;5,385720e+01;5,387360e+01;5,387395e+01;5,385859e+01;5,386878e+01;4,704461e+01;4,794003e+01
2400;1,300000e+00;5,450764e+01;5,449709e+01;5,451377e+01;5,451414e+01;5,449850e+01;5,450880e+01;4,755433e+01;4,844518e+01
2450;1,300000e+00;5,515926e+01;5,514858e+01;5,516556e+01;5,516595e+01;5,514998e+01;5,516042e+01;4,806755e+01;4,895376e+01
2500;1,300000e+00;5,580324e+01;5,579246e+01;5,580974e+01;5,581001e+01;5,579380e+01;5,580429e+01;4,857733e+01;4,946039e+01
2550;1,300000e+00;5,644728e+01;5,643634e+01;5,645385e+01;5,645412e+01;5,643768e+01;5,644835e+01;4,908660e+01;4,996648e+01
2600;1,300000e+00;5,709490e+01;5,708384e+01;5,710156e+01;5,710184e+01;5,708520e+01;5,709598e+01;4,959601e+01;5,047263e+01
2650;1,300000e+00;5,774547e+01;5,773427e+01;5,775225e+01;5,775247e+01;5,773558e+01;5,774648e+01;5,010643e+01;5,098106e+01
2700;1,300000e+00;5,839882e+01;5,838756e+01;5,840582e+01;5,840612e+01;5,838896e+01;5,839993e+01;5,061850e+01;5,149121e+01
