eon;eoff;vds;ids;rds_on
-6.46338203466e-09;7.21052041565e-09;0.999931594144;0.0998410582542;0.0159196876827
-4.87243930082e-09;8.17470465476e-09;0.999945893454;0.12564073503;0.015919696302
-3.8326499588e-09;9.17030804494e-09;0.999956683507;0.158090442419;0.0159197062744
-3.6750660244e-09;1.03145661478e-08;0.999965649756;0.198894456029;0.015919733305
-2.16668223279e-09;1.14566644457e-08;0.999972701073;0.250188171864;0.0159197821277
3.03103120119e-10;1.24969174386e-08;0.999978303909;0.314643740654;0.0159198533033
1.94039968473e-09;1.35551708973e-08;0.999982774258;0.395599931479;0.0159199486863
5.18196539526e-09;1.45543912185e-08;0.999986350536;0.497219949961;0.0159200722682
1.18066194339e-08;1.54125222029e-08;0.999989151955;0.624682426453;0.0159202338654
2.02779425765e-08;1.65012135585e-08;0.999991357327;0.784408569336;0.0159204374452
3.39121861936e-08;1.7237781532e-08;0.999993145466;0.9843288064;0.0159206939101
5.40759097286e-08;1.82043061778e-08;0.999994575977;1.23418807983;0.0159210188571
8.40680592413e-08;1.90957346716e-08;0.999995648861;1.54588472843;0.0159214247333
1.31579443719e-07;2.04901718246e-08;0.999996542931;1.93382763863;0.015921931522
2.0233442983e-07;2.24259959608e-08;0.999997258186;2.41528558731;0.015922562288
3.13264480787e-07;2.89494534427e-08;0.999997805698;3.01067781448;0.0159233458961
4.80957979029e-07;4.07284697623e-08;0.999998271465;3.74373459816;0.0159243110797
7.31813178516e-07;5.98613907574e-08;0.999998629093;4.64141082764;0.0159254978095
1.10164346423e-06;8.92286140421e-08;0.999998927116;5.73341035843;0.0159269445837
1.64849644222e-06;1.34294775354e-07;0.999999161019;7.05112981796;0.0159286993473
2.43470485408e-06;2.02926844359e-07;0.999999340153;8.6258354187;0.0159308044036
3.52372148887e-06;2.98475450415e-07;0.999999463558;10.4859027863;0.0159333074002
5.0896122802e-06;4.31858799253e-07;0.999999582767;12.6531066895;0.015936241214
7.16791928376e-06;6.20611062517e-07;0.999999642372;15.138130188;0.0159396324876
9.89177007785e-06;8.82916473595e-07;0.999999701977;17.9358692169;0.0159434830725
1.33410275685e-05;1.18660220298e-06;0.999999761581;21.0214080811;0.0159477749596
1.75614159715e-05;1.59592431691e-06;0.999999821186;24.3478927612;0.0159524512158
2.22194646387e-05;2.04285517705e-06;0.999999880791;27.8473548889;0.0159574307327
2.81378506028e-05;2.74929464238e-06;0.999999880791;31.4351425171;0.0159625994808
3.42383757309e-05;3.38321317799e-06;0.999999940395;35.0175819397;0.0159678286719
4.0212520006e-05;4.08649204808e-06;0.999999940395;38.5015563965;0.015972976427
4.66518717186e-05;4.66001639713e-06;0.999999940395;41.8039207458;0.0159779190807
5.32540910387e-05;5.37134818779e-06;0.999999940395;44.8589057922;0.015982543582
5.91173722548e-05;6.06656111117e-06;0.999999940395;47.6221199036;0.0159867735746
6.44891354984e-05;6.68345255755e-06;1.0;50.0710258484;0.0159905581416
6.82349589043e-05;7.24169947876e-06;1.0;52.2025299072;0.0159938823479
7.37143071419e-05;7.75523295132e-06;1.0;54.0288276672;0.0159967510825
7.72484915207e-05;8.30422747311e-06;1.0;55.5581207275;0.0159991691201
1.01522799705e-07;7.62020948084e-07;25.9975681305;0.0999939344204;0.0157763892987
1.26441334013e-07;2.50483060159e-07;25.9980678558;0.125882685587;0.0161698280179
1.49647660036e-07;3.01517619356e-07;25.9984645844;0.158473822542;0.0160400005164
1.93421295946e-07;5.36233971986e-07;25.9987812042;0.199501857162;0.0159199585211
2.55908236409e-07;5.44762811032e-07;25.9990313787;0.251150012016;0.015919688827
3.12748810966e-07;5.60145756301e-07;25.9992309887;0.316166563842;0.0159126530878
3.8973681382e-07;5.68019822788e-07;25.9993880738;0.398010079527;0.0159339325539
5.14297730573e-07;5.78315285325e-07;25.9995155261;0.501033414869;0.015927853894
6.45744145273e-07;5.84813810958e-07;25.9996139876;0.630713681287;0.0159202085313
8.29565607155e-07;5.9284379495e-07;25.9996939812;0.793942089656;0.0159206263749
1.13249736824e-06;6.08695930205e-07;25.9997540286;0.999388039112;0.0159209810831
1.33808284843e-06;6.05960622147e-07;25.9998067033;1.25795567036;0.0159211492073
1.8474959551e-06;6.27126863231e-07;25.9998462262;1.58335649967;0.0159214765648
2.18496133652e-06;6.36589884045e-07;25.9998779297;1.99282729626;0.015921967684
3.05269799994e-06;7.38255655577e-07;25.9999027252;2.50802826881;0.0159226676751
3.9437426192e-06;8.40167927659e-07;25.9999237061;3.15616512299;0.0159235362847
5.13200135383e-06;9.85437926595e-07;25.9999389648;3.97138810158;0.0159246105094
6.69838776497e-06;1.1938788908e-06;25.9999523163;4.99653339386;0.0159259675567
8.76415415914e-06;1.47776270448e-06;25.999961853;6.28527927399;0.0159276685788
1.14928995492e-05;1.86025975165e-06;25.9999694824;7.90481185913;0.0159298352539
1.52548578661e-05;2.33722372509e-06;25.9999752045;9.93909454346;0.0159325714453
1.99093900777e-05;2.96776412124e-06;25.9999809265;12.4928560257;0.0159360217482
2.80087371178e-05;4.07699554117e-06;25.9999847412;15.6964120865;0.0159403962468
3.7420002363e-05;5.10758144162e-06;25.9999885559;19.7114143372;0.0159459448457
