eon;eoff;vds;ids
3.39103655874e-08;1.7292073792e-08;0.999993145466;0.9843288064
1.03617727057e-05;9.19620927751e-07;0.999999703482;18.3804473877
2.29286908605e-05;2.03341593829e-06;0.999999880791;28.1170101166
3.30389851865e-05;3.23045711145e-06;0.999999880791;34.3350944519
4.08878624254e-05;4.09910249844e-06;0.999999940395;38.6485595703
4.6433157914e-05;4.65088790806e-06;0.999999940395;41.8157310486
5.19675601619e-05;5.35357568533e-06;0.999999940395;44.2397232056
5.59758784531e-05;5.69100833172e-06;0.999999940395;46.1545410156
5.92956250123e-05;6.14481687877e-06;0.999999940395;47.7053108215
6.20937627014e-05;6.40858051925e-06;0.999999942712;48.9868125916
6.44676659843e-05;6.68249027622e-06;1.0;50.0635528564
6.68617594526e-05;6.99083966706e-06;1.0;50.9809684753
6.82911645849e-05;7.12876323335e-06;1.0;51.7719802856
6.98595962284e-05;7.31504827321e-06;1.0;52.4610214233
7.12550566358e-05;7.4783760361e-06;1.0;53.0666122437
7.24990380699e-05;7.63548713898e-06;1.0;53.6030502319
7.35944205265e-05;7.77207036627e-06;1.0;54.0815353394
7.45968277205e-05;7.9766032981e-06;1.0;54.510974884
7.55045059822e-05;7.99247090805e-06;1.0;54.8985443115
7.63274105113e-05;8.11402920078e-06;1.0;55.2500801086
7.7079999472e-05;8.21021101556e-06;1.0;55.5703849792
1.13249632773e-06;6.09266996741e-07;25.9997540294;0.999388039112
5.43787588315e-05;7.15439562362e-06;25.9999904633;25.5917053223
0.000143673391554;1.68401912127e-05;25.9999949141;49.4490699768
0.000273918800071;3.04777530059e-05;25.9999961853;72.5988540649
0.000430675709137;4.62564483568e-05;25.9999980927;95.0664672852
0.000614075659955;6.46803453739e-05;25.9999980927;116.87537384
0.000819850301792;8.34089226439e-05;25.9999980927;138.04699707
0.00104502969234;0.000105756041408;25.9999980927;158.600601196
0.0012866274929;0.000127694003472;25.9999980927;178.553039551
0.00154237266582;0.000154505210023;25.9999980927;197.918182373
0.00181968413281;0.000178536362737;25.9999980927;216.70614624
0.00210799416773;0.000204604081699;26.0;234.921447754
0.00239750206547;0.000232334825411;26.0;252.559539795
0.00270573331021;0.000261276960514;26.0;269.598022461
0.00301977075012;0.000288397492033;26.0;285.969970703
0.00335168170396;0.000324375078321;26.0;301.420959473
0.0037028090323;0.00035610207918;26.0;314.43963623
0.00406238514924;0.000390587160106;26.0;326.390869141
0.00446722256778;0.000425829116324;26.0;337.806518555
0.00484659205579;0.00046133862595;26.0;348.721832275
0.00521947752674;0.000501656768169;26.0;359.168914795
2.49563241806e-06;1.40634602875e-06;50.9993973191;0.999687993746
9.67897133272e-05;1.43069858987e-05;50.9999771118;25.7902317047
0.000237471806441;3.12780493194e-05;50.9999885559;50.1973075867
0.00042106069099;5.24652499908e-05;50.9999923706;74.226890564
0.000635505579537;7.53821745525e-05;50.9999923706;97.8843688965
0.000894639035796;0.000102478333997;50.9999961853;121.174430847
0.00118242273059;0.000132527005534;50.9999961853;144.100860596
0.00149816359532;0.000162838867269;50.9999961853;166.666259766
0.00184428318739;0.00019633454715;50.9999961853;188.871582031
0.00221984032928;0.000235509564804;50.9999961853;210.715194702
0.00260520365349;0.00026902639127;50.9999961853;232.191085815
0.00302341701094;0.00030872231854;50.9999961853;253.284896851
0.0034778857384;0.000349695108256;50.9999961853;273.962188721
0.00392572762566;0.000398755717348;51.0;294.117004395
0.00448313858102;0.000442542009122;51.0;312.811431885
0.00511288981076;0.000506030988268;51.0;330.108093262
0.00575447557511;0.000565051987307;51.0;346.897491455
0.00643286513816;0.000636896199436;51.0;363.201599121
0.00709296582935;0.000687153993366;51.0;379.041107178
0.00776817310938;0.000749003255882;51.0;394.435546875
0.00841430041274;0.000816803037027;51.0;409.40335083
4.20933680354e-06;2.36731171751e-06;75.9989089966;0.999790570974
0.00014513292103;2.22922405244e-05;75.9999587188;25.8588581085
0.000340368872072;4.81028409183e-05;75.9999771118;50.4585342407
0.00057889503539;7.66881049491e-05;75.9999847412;74.8008804321
0.000858157800972;0.000108263656605;75.9999923706;98.8875732422
0.00118971635756;0.000145948618358;75.9999923706;122.719825745
0.00154308417288;0.000182864584725;75.9999923706;146.298187256
0.00193772309832;0.000225452122933;75.9999923706;169.622283936
0.00238865590619;0.000269107456292;75.9999923706;192.690368652
0.00285027769488;0.000313564140095;75.9999923706;215.498382568
0.00334714315178;0.000360443214547;75.9999923706;238.038162231
0.00386875862736;0.000409704070496;75.9999923706;260.292663574
0.00444715177485;0.000465682123773;76.0;282.219818115
0.00506429895086;0.000525224784348;76.0;303.630737305
0.00580685848457;0.000600760326624;76.0;323.452880859
0.0065938741392;0.000669284713576;76.0;342.758178711
0.00742003677607;0.000746233265842;76.0;361.651672363
0.00826632129214;0.000825050563253;76.0;380.146362305
0.00912357173078;0.000911093701846;76.0;398.254638672
0.01003353327;0.000986850494549;76.0;415.988525391
0.0109248568807;0.00106406018317;76.0;433.359405518
6.04407471122e-06;3.46332525261e-06;100.998298645;0.999842252206
0.000200741810169;3.18337983617e-05;100.999931335;25.8936519623
0.000453324040598;6.63687762894e-05;100.999969482;50.5914802551
0.000759872061942;0.000104946771586;100.999977112;75.0941238403
0.00110880726558;0.000147547384829;100.999984741;99.4020843506
0.00151073730619;0.000192415333727;100.999984741;123.515480042
0.00194929978302;0.000241209966238;100.999992371;147.433929443
0.00241779169982;0.000290285675951;100.999992371;171.15625
0.00292941456054;0.000343540987672;100.999992371;194.680099487
0.00351608846377;0.000400228839827;100.999992371;218.00112915
0.00410692845299;0.000460066162358;100.999992371;241.111251831
0.00474635917994;0.000520732716796;100.999992371;263.993835449
0.00542656874265;0.000584354107236;100.999992371;286.605743408
0.00617037369033;0.000656161125024;100.999992371;308.618927002
0.00700737237423;0.000749300883381;100.999992371;329.456176758
0.00800623904289;0.000830975510888;100.999992371;349.941223145
0.00898696001256;0.000928300299501;100.999992371;370.08291626
0.0100069721303;0.0010271813613;100.999992371;389.889770508
0.0110412629317;0.00111777693771;101.0;409.369995117
0.012104170199;0.00122635121779;101.0;428.531585693
0.0132390374432;0.0013188690688;101.0;447.382232666
8.21229702343e-06;4.68880058267e-06;125.997565942;0.999873638153
0.000262133344394;4.23951242735e-05;125.999908447;25.9146823883
0.000579067510207;8.6924357764e-05;125.999954224;50.6720123291
0.000952679990627;0.000134978534799;125.999969482;75.2721252441
0.00137982192253;0.000188134076971;125.999977112;99.7150497437
0.00186147782548;0.000244408205929;125.999977112;124.000495911
0.00237166286647;0.000301227419924;125.999984741;148.127731323
0.00294283597364;0.000365137590318;125.999984741;172.095367432
0.00355276900461;0.000427287028135;125.999984741;195.901000977
0.00420881037277;0.00049056472437;125.999992371;219.54045105
0.00490614342065;0.000563766762046;125.999992371;243.006195068
0.00564160632916;0.000634302761497;125.999992371;266.282745361
0.00643776056431;0.000710482893167;125.999992371;289.327941895
0.00732017451114;0.000797813583161;125.999992371;311.75088501
0.00835118107435;0.000896659174782;125.999992371;333.311065674
0.00941474715255;0.00100414114057;125.999992371;354.571563721
0.0105562780715;0.00110559957408;125.999992371;375.538574219
0.0117257004218;0.0012171224636;125.999992371;396.218078613
0.0129350828386;0.00132444580138;125.999992371;416.615905762
0.0141926830474;0.00144489231164;125.999992371;436.737762451
0.0155059703429;0.0015621637877;125.999992371;456.589111328
1.04882378283e-05;6.02985477541e-06;150.996704102;0.999894586573
