filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
800;1,300000e+00;8,029593e+02;8,000096e+02;1,140015e+01;9,858023e+01;8,808444e-01;3,999422e-02;1,626244e-03;3,713383e-02;1,588600e-03;8,005013e-01;1,897739e+00;1,771871e-01;8,151580e+00;7,915747e+00;2,358335e-01;1,713115e-01;5,590427e-02;1,154072e-01;6,452197e-02;2,928022e-01;2,903250e-01;2,477144e-03;2,006784e+01
850;1,300000e+00;8,530127e+02;8,500115e+02;1,171430e+01;9,862671e+01;8,891562e-01;4,391718e-02;1,838185e-03;4,106047e-02;1,801192e-03;8,005389e-01;1,909690e+00;1,799615e-01;8,411548e+00;8,152278e+00;2,592700e-01;1,908329e-01;6,198371e-02;1,288491e-01;6,843712e-02;3,239445e-01;3,214713e-01;2,473220e-03;1,887697e+01
900;1,300000e+00;9,030692e+02;9,000136e+02;1,197714e+01;9,867373e+01;8,979521e-01;4,807679e-02;2,057371e-03;4,521803e-02;2,020788e-03;8,005788e-01;1,922224e+00;1,828829e-01;8,617281e+00;8,333287e+00;2,839935e-01;2,115515e-01;6,844791e-02;1,431035e-01;7,244209e-02;3,567971e-01;3,542973e-01;2,499834e-03;1,780983e+01
950;1,300000e+00;9,531288e+02;9,500160e+02;1,220323e+01;9,871967e+01;9,072019e-01;5,246073e-02;2,263265e-03;4,960499e-02;2,251608e-03;8,006209e-01;1,935413e+00;1,860863e-01;8,783192e+00;8,473192e+00;3,100003e-01;2,334514e-01;7,528692e-02;1,581645e-01;7,654884e-02;3,913374e-01;3,888280e-01;2,509404e-03;1,689285e+01
1000;1,300000e+00;1,003192e+03;1,000019e+03;1,243400e+01;9,876056e+01;9,169719e-01;5,707807e-02;2,514047e-03;5,422105e-02;2,493128e-03;8,006653e-01;1,949424e+00;1,893382e-01;8,950714e+00;8,613419e+00;3,372948e-01;2,565515e-01;8,250380e-02;1,740477e-01;8,074329e-02;4,275572e-01;4,250239e-01;2,533316e-03;1,602396e+01
1050;1,300000e+00;1,053258e+03;1,050022e+03;1,269038e+01;9,879513e+01;9,272308e-01;6,192275e-02;2,781304e-03;5,906459e-02;2,749845e-03;8,007120e-01;1,964313e+00;1,931635e-01;9,131564e+00;8,755475e+00;3,760886e-01;2,917691e-01;9,359309e-02;1,981761e-01;8,431942e-02;4,741108e-01;4,715847e-01;2,526094e-03;1,528293e+01
1100;1,300000e+00;1,103327e+03;1,100025e+03;1,293215e+01;9,882789e+01;9,379710e-01;6,700039e-02;3,050655e-03;6,414285e-02;3,015918e-03;8,007609e-01;1,979929e+00;1,972048e-01;9,302813e+00;8,895987e+00;4,068260e-01;3,182172e-01;1,018450e-01;2,163722e-01;8,860882e-02;5,142324e-01;5,116962e-01;2,536240e-03;1,461294e+01
1150;1,300000e+00;1,153399e+03;1,150028e+03;1,317906e+01;9,885737e+01;9,492108e-01;7,230909e-02;3,336569e-03;6,944987e-02;3,302916e-03;8,008120e-01;1,996314e+00;2,016056e-01;9,475911e+00;9,037075e+00;4,388358e-01;3,458885e-01;1,104686e-01;2,354199e-01;9,294725e-02;5,560196e-01;5,534699e-01;2,549746e-03;1,400677e+01
1200;1,300000e+00;1,203475e+03;1,200032e+03;1,343487e+01;9,888366e+01;9,608855e-01;7,784331e-02;3,604953e-03;7,498470e-02;3,586728e-03;8,008654e-01;2,013296e+00;2,062666e-01;9,654806e+00;9,182665e+00;4,721407e-01;3,748071e-01;1,194852e-01;2,553218e-01;9,733361e-02;5,996171e-01;5,970198e-01;2,597272e-03;1,347548e+01
1250;1,300000e+00;1,253554e+03;1,250036e+03;1,369540e+01;9,890747e+01;9,730688e-01;8,361752e-02;3,913372e-03;8,074967e-02;3,866815e-03;8,009211e-01;2,031139e+00;2,109261e-01;9,835329e+00;9,328661e+00;5,066678e-01;4,049605e-01;1,288795e-01;2,760809e-01;1,017073e-01;6,449414e-01;6,422687e-01;2,672646e-03;1,295343e+01
1300;1,300000e+00;1,303636e+03;1,300041e+03;1,395748e+01;9,892934e+01;9,857334e-01;8,961829e-02;4,202790e-03;8,674563e-02;4,187298e-03;8,009791e-01;2,050021e+00;2,158968e-01;1,001414e+01;9,471690e+00;5,424500e-01;4,363510e-01;1,386585e-01;2,976925e-01;1,060990e-01;6,916882e-01;6,891635e-01;2,524740e-03;1,246907e+01
1350;1,300000e+00;1,353722e+03;1,350046e+03;1,423206e+01;9,894867e+01;9,988249e-01;9,584341e-02;4,479056e-03;9,297102e-02;4,491735e-03;8,010394e-01;2,071082e+00;2,212469e-01;1,020092e+01;9,621426e+00;5,794909e-01;4,689598e-01;1,488046e-01;3,201552e-01;1,105312e-01;7,399921e-01;7,374519e-01;2,540191e-03;1,206224e+01
1400;1,300000e+00;1,403810e+03;1,400051e+03;1,450709e+01;9,896659e+01;1,012417e+00;1,023067e-01;4,772363e-03;9,942883e-02;4,807060e-03;8,011019e-01;2,091476e+00;2,267027e-01;1,038694e+01;9,769087e+00;6,178491e-01;5,028529e-01;1,593765e-01;3,434764e-01;1,149961e-01;7,895604e-01;7,870236e-01;2,536802e-03;1,163255e+01
1450;1,300000e+00;1,453902e+03;1,450056e+03;1,478522e+01;9,898307e+01;1,026341e+00;1,089887e-01;5,000920e-03;1,061074e-01;5,076626e-03;8,011667e-01;2,112135e+00;2,323599e-01;1,057391e+01;9,916438e+00;6,574765e-01;5,379736e-01;1,703264e-01;3,676471e-01;1,195029e-01;8,404744e-01;8,379287e-01;2,545721e-03;1,123081e+01
1500;1,300000e+00;1,503997e+03;1,500062e+03;1,506662e+01;9,899823e+01;1,040742e+00;1,159004e-01;5,262428e-03;1,130130e-01;5,332273e-03;8,012337e-01;2,133620e+00;2,381575e-01;1,076123e+01;1,006286e+01;6,983752e-01;5,743244e-01;1,816590e-01;3,926653e-01;1,240508e-01;8,928696e-01;8,903161e-01;2,553550e-03;1,084934e+01
1550;1,300000e+00;1,554096e+03;1,550069e+03;1,535932e+01;9,901169e+01;1,055687e+00;1,230489e-01;5,543454e-03;1,201564e-01;5,635030e-03;8,013030e-01;2,156194e+00;2,443101e-01;1,095656e+01;1,020959e+01;7,469702e-01;6,185110e-01;1,954621e-01;4,230488e-01;1,284592e-01;9,465701e-01;9,440082e-01;2,561874e-03;1,049548e+01
1600;1,300000e+00;1,604198e+03;1,600076e+03;1,564805e+01;9,902456e+01;1,071051e+00;1,304318e-01;5,817343e-03;1,275262e-01;5,900817e-03;8,013745e-01;2,179523e+00;2,506812e-01;1,114528e+01;1,035442e+01;7,908574e-01;6,577630e-01;2,077057e-01;4,500574e-01;1,330944e-01;1,001516e+00;9,989551e-01;2,561005e-03;1,015116e+01
1650;1,300000e+00;1,654303e+03;1,650083e+03;1,594210e+01;9,903633e+01;1,086819e+00;1,380373e-01;6,040747e-03;1,351304e-01;6,161627e-03;8,014484e-01;2,203669e+00;2,570873e-01;1,133398e+01;1,049795e+01;8,360341e-01;6,982578e-01;2,203259e-01;4,779318e-01;1,377763e-01;1,060538e+00;1,055336e+00;5,201751e-03;9,793502e+00
1700;1,300000e+00;1,704411e+03;1,700091e+03;1,623823e+01;9,904728e+01;1,103311e+00;1,458954e-01;6,364006e-03;1,429880e-01;6,538590e-03;8,015245e-01;2,228981e+00;2,641396e-01;1,152396e+01;1,064144e+01;8,825222e-01;7,400143e-01;2,333410e-01;5,066733e-01;1,425078e-01;1,117845e+00;1,112635e+00;5,209615e-03;9,498411e+00
1750;1,300000e+00;1,754523e+03;1,750099e+03;1,653605e+01;9,905752e+01;1,120117e+00;1,539855e-01;6,640815e-03;1,510674e-01;6,819962e-03;8,016030e-01;2,254938e+00;2,712348e-01;1,171574e+01;1,078542e+01;9,303206e-01;7,830310e-01;2,467411e-01;5,362899e-01;1,472896e-01;1,174022e+00;1,171421e+00;2,601495e-03;9,194662e+00
1800;1,300000e+00;1,804639e+03;1,800108e+03;1,684341e+01;9,906666e+01;1,137565e+00;1,623057e-01;6,915830e-03;1,594082e-01;7,251048e-03;8,016838e-01;2,281902e+00;2,786820e-01;1,191122e+01;1,093180e+01;9,794254e-01;8,273079e-01;2,605277e-01;5,667803e-01;1,521175e-01;1,234039e+00;1,231471e+00;2,568865e-03;8,905390e+00
1850;1,300000e+00;1,854757e+03;1,850117e+03;1,715442e+01;9,907511e+01;1,155244e+00;1,708616e-01;7,225070e-03;1,679349e-01;7,455553e-03;8,017668e-01;2,309525e+00;2,861415e-01;1,210794e+01;1,107814e+01;1,029797e+00;8,728189e-01;2,746816e-01;5,981373e-01;1,569779e-01;1,295563e+00;1,292941e+00;2,621185e-03;8,613550e+00
1900;1,300000e+00;1,904880e+03;1,900126e+03;1,747024e+01;9,908287e+01;1,173617e+00;1,796567e-01;7,566734e-03;1,767251e-01;7,816162e-03;8,018521e-01;2,338164e+00;2,945147e-01;1,230550e+01;1,122403e+01;1,081464e+00;9,195944e-01;2,892285e-01;6,303659e-01;1,618692e-01;1,358451e+00;1,355846e+00;2,604235e-03;8,422546e+00
1950;1,300000e+00;1,955005e+03;1,950137e+03;1,778982e+01;9,909004e+01;1,192023e+00;1,886912e-01;7,891763e-03;1,856831e-01;7,817205e-03;8,019397e-01;2,367428e+00;3,030394e-01;1,250501e+01;1,137061e+01;1,134399e+00;9,676188e-01;3,041697e-01;6,634491e-01;1,667801e-01;1,422319e+00;1,419728e+00;2,591546e-03;8,238190e+00
2000;1,300000e+00;2,005135e+03;2,000147e+03;1,811727e+01;9,909646e+01;1,210992e+00;1,979283e-01;8,097803e-03;1,949112e-01;8,025277e-03;8,020295e-01;2,397819e+00;3,120877e-01;1,270874e+01;1,152013e+01;1,188615e+00;1,016901e+00;3,195103e-01;6,973903e-01;1,717145e-01;1,487631e+00;1,485043e+00;2,588111e-03;8,083107e+00
