filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
1600;1,300000e+00;8,298080e+01;8,299071e+01;8,300860e+01;8,298755e+01;8,295982e+01;8,295303e+01;7,926264e+01;2,953537e+01;2,982276e+01;2,940503e+01;2,968745e+01
1650;1,300000e+00;8,299633e+01;8,300893e+01;8,302723e+01;8,300634e+01;8,297727e+01;8,296908e+01;7,927896e+01;2,968251e+01;2,997085e+01;2,954647e+01;2,982980e+01
1700;1,300000e+00;8,301166e+01;8,302627e+01;8,304575e+01;8,302477e+01;8,299515e+01;8,298296e+01;7,929476e+01;2,982671e+01;3,011577e+01;2,968510e+01;2,996914e+01
1750;1,300000e+00;8,302776e+01;8,304420e+01;8,306464e+01;8,304336e+01;8,301325e+01;8,299918e+01;7,931126e+01;2,996876e+01;3,025876e+01;2,982169e+01;3,010664e+01
1800;1,300000e+00;8,304492e+01;8,306263e+01;8,308352e+01;8,306225e+01;8,303108e+01;8,301536e+01;7,932800e+01;3,011916e+01;3,041010e+01;2,996628e+01;3,025215e+01
1850;1,300000e+00;8,306275e+01;8,308109e+01;8,310257e+01;8,308166e+01;8,304954e+01;8,303362e+01;7,934538e+01;3,027317e+01;3,056525e+01;3,011434e+01;3,040130e+01
1900;1,300000e+00;8,308248e+01;8,309961e+01;8,312180e+01;8,310086e+01;8,306827e+01;8,305192e+01;7,936311e+01;3,043044e+01;3,072380e+01;3,026553e+01;3,055374e+01
1950;1,300000e+00;8,310250e+01;8,311809e+01;8,314077e+01;8,311965e+01;8,308675e+01;8,307174e+01;7,938097e+01;3,059016e+01;3,088467e+01;3,041907e+01;3,070840e+01
2000;1,300000e+00;8,312285e+01;8,313691e+01;8,315999e+01;8,313907e+01;8,310559e+01;8,309210e+01;7,939921e+01;3,075329e+01;3,104890e+01;3,057588e+01;3,086628e+01
2050;1,300000e+00;8,794718e+01;8,795938e+01;8,798334e+01;8,796192e+01;8,792787e+01;8,791583e+01;8,391321e+01;3,303885e+01;3,334238e+01;3,281798e+01;3,311615e+01
2100;1,300000e+00;8,796681e+01;8,797896e+01;8,800349e+01;8,798236e+01;8,794848e+01;8,793662e+01;8,393211e+01;3,321787e+01;3,352227e+01;3,299007e+01;3,328909e+01
2150;1,300000e+00;8,798638e+01;8,799830e+01;8,802332e+01;8,800236e+01;8,796787e+01;8,795628e+01;8,395047e+01;3,339445e+01;3,369935e+01;3,315985e+01;3,345935e+01
2200;1,300000e+00;8,800534e+01;8,801879e+01;8,804412e+01;8,802345e+01;8,798842e+01;8,797514e+01;8,396930e+01;3,356808e+01;3,387395e+01;3,332680e+01;3,362724e+01
2250;1,300000e+00;8,802458e+01;8,803816e+01;8,806472e+01;8,804449e+01;8,800835e+01;8,799480e+01;8,398798e+01;3,375161e+01;3,405832e+01;3,350324e+01;3,380449e+01
2300;1,300000e+00;8,804425e+01;8,805801e+01;8,808557e+01;8,806547e+01;8,802876e+01;8,801473e+01;8,400695e+01;3,393902e+01;3,424696e+01;3,368341e+01;3,398584e+01
2350;1,300000e+00;8,806414e+01;8,807869e+01;8,810651e+01;8,808666e+01;8,804952e+01;8,803514e+01;8,402627e+01;3,413205e+01;3,444068e+01;3,386897e+01;3,417207e+01
2400;1,300000e+00;8,808756e+01;8,809856e+01;8,812809e+01;8,810753e+01;8,807040e+01;8,805832e+01;8,404650e+01;3,433020e+01;3,463916e+01;3,405945e+01;3,436286e+01
2450;1,300000e+00;8,810988e+01;8,811828e+01;8,814867e+01;8,812789e+01;8,809036e+01;8,808087e+01;8,406607e+01;3,453243e+01;3,484219e+01;3,425384e+01;3,455803e+01
2500;1,300000e+00;8,813244e+01;8,813793e+01;8,816881e+01;8,814781e+01;8,810827e+01;8,810352e+01;8,408522e+01;3,473976e+01;3,505011e+01;3,445312e+01;3,475787e+01
2550;1,300000e+00;8,815604e+01;8,816156e+01;8,818894e+01;8,817182e+01;8,813182e+01;8,812747e+01;8,410687e+01;3,495063e+01;3,526168e+01;3,465579e+01;3,496121e+01
2600;1,300000e+00;9,490737e+01;9,491314e+01;9,494012e+01;9,492344e+01;9,488357e+01;9,487897e+01;9,042559e+01;3,843371e+01;3,875605e+01;3,807197e+01;3,838846e+01
2650;1,300000e+00;9,493227e+01;9,493718e+01;9,496468e+01;9,494824e+01;9,490764e+01;9,490394e+01;9,044856e+01;3,865969e+01;3,898210e+01;3,828919e+01;3,860574e+01
2700;1,300000e+00;9,495760e+01;9,496206e+01;9,499001e+01;9,497367e+01;9,493245e+01;9,492905e+01;9,047209e+01;3,888968e+01;3,921286e+01;3,851027e+01;3,882755e+01
2750;1,300000e+00;9,498275e+01;9,498665e+01;9,501498e+01;9,499875e+01;9,495698e+01;9,495466e+01;9,049546e+01;3,912396e+01;3,944763e+01;3,873546e+01;3,905320e+01
2800;1,300000e+00;9,500797e+01;9,501172e+01;9,503983e+01;9,502361e+01;9,498206e+01;9,497993e+01;9,051890e+01;3,936158e+01;3,968565e+01;3,896385e+01;3,928197e+01
2850;1,300000e+00;9,503320e+01;9,503674e+01;9,506517e+01;9,504904e+01;9,500661e+01;9,500469e+01;9,054234e+01;3,960292e+01;3,992762e+01;3,919581e+01;3,951454e+01
2900;1,300000e+00;9,505867e+01;9,506207e+01;9,508931e+01;9,507338e+01;9,503219e+01;9,503073e+01;9,056586e+01;3,984812e+01;4,017275e+01;3,943148e+01;3,975013e+01
2950;1,300000e+00;9,508325e+01;9,508810e+01;9,511495e+01;9,509901e+01;9,505756e+01;9,505548e+01;9,058956e+01;4,009871e+01;4,042356e+01;3,967232e+01;3,999117e+01
3000;1,300000e+00;1,008777e+02;1,008828e+02;1,009093e+02;1,008936e+02;1,008526e+02;1,008499e+02;9,601272e+01;4,368447e+01;4,402005e+01;4,318746e+01;4,351685e+01
3050;1,300000e+00;1,009036e+02;1,009095e+02;1,009351e+02;1,009196e+02;1,008792e+02;1,008764e+02;9,603728e+01;4,395084e+01;4,428682e+01;4,344348e+01;4,377324e+01
3100;1,300000e+00;1,009301e+02;1,009358e+02;1,009618e+02;1,009457e+02;1,009058e+02;1,009033e+02;9,606208e+01;4,422185e+01;4,455841e+01;4,370395e+01;4,403426e+01
3150;1,300000e+00;1,009559e+02;1,009627e+02;1,009875e+02;1,009724e+02;1,009323e+02;1,009297e+02;9,608672e+01;4,449784e+01;4,483462e+01;4,396919e+01;4,429971e+01
3200;1,300000e+00;1,009825e+02;1,009883e+02;1,010142e+02;1,009987e+02;1,009590e+02;1,009555e+02;9,611130e+01;4,477774e+01;4,511513e+01;4,423818e+01;4,456929e+01
3250;1,300000e+00;1,010090e+02;1,010157e+02;1,010421e+02;1,010258e+02;1,009865e+02;1,009819e+02;9,613665e+01;4,506188e+01;4,539975e+01;4,451123e+01;4,484280e+01
3300;1,300000e+00;1,010349e+02;1,010432e+02;1,010689e+02;1,010525e+02;1,010136e+02;1,010086e+02;9,616173e+01;4,535020e+01;4,568872e+01;4,478830e+01;4,512049e+01
3350;1,300000e+00;1,010618e+02;1,010704e+02;1,010964e+02;1,010799e+02;1,010408e+02;1,010360e+02;9,618723e+01;4,564228e+01;4,598106e+01;4,506897e+01;4,540141e+01
3400;1,300000e+00;1,010875e+02;1,010965e+02;1,011242e+02;1,011073e+02;1,010674e+02;1,010623e+02;9,621216e+01;4,593741e+01;4,627706e+01;4,535257e+01;4,568584e+01
3450;1,300000e+00;1,011154e+02;1,011234e+02;1,011521e+02;1,011341e+02;1,010948e+02;1,010906e+02;9,623791e+01;4,623574e+01;4,657552e+01;4,563924e+01;4,597263e+01
3500;1,300000e+00;1,088411e+02;1,088486e+02;1,088792e+02;1,088610e+02;1,088207e+02;1,088162e+02;1,034687e+02;5,050644e+01;5,085875e+01;4,982448e+01;5,017017e+01
