filename;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
1600;1607,062;1600,08;18,96833;98,81969;4,359329;0,1314105;0,00631017;0,1281644;0,006029761;4,087413;2,183238;0,2505812;11,16865;10,37587;0,7927754;0,6594575;0,2089831;0,4504744;0,1333179;1,006534;1,003954;0,002580561;10,54979
1650;1657,34;1650,088;19,45863;98,82591;4,571284;0,1391546;0,006693463;0,1358506;0,006460012;4,283124;2,20782;0,2570242;11,35975;10,52153;0,8382142;0,7001927;0,2217595;0,4784332;0,1380216;1,062755;1,06006;0,002695678;10,16268
1700;1707,627;1700,096;19,9574;98,83128;4,78826;0,147146;0,007082742;0,1437628;0,006864174;4,483403;2,233257;0,2636939;11,55198;10,667;0,8849817;0,7422066;0,2349504;0,5072561;0,1427751;1,120209;1,117614;0,002595018;9,783374
1750;1757,923;1750,104;20,46591;98,83579;5,011369;0,1553366;0,007477391;0,1519042;0,007266884;4,689383;2,259423;0,2703731;11,74593;10,81296;0,9329733;0,7853919;0,2484625;0,5369294;0,1475814;1,178821;1,176205;0,002615454;9,438108
1800;1808,228;1800,113;20,98407;98,83952;5,239912;0,1638065;0,007924795;0,1602536;0,007674819;4,900251;2,28641;0,277098;11,94184;10,95958;0,9822616;0,8298314;0,262374;0,5674573;0,1524302;1,238807;1,236185;0,002621676;9,149566
1850;1858,542;1850,123;21,51813;98,8422;5,478442;0,1725015;0,008364604;0,1689304;0,008093228;5,120551;2,314332;0,2853497;12,13977;11,10686;1,032909;0,8755972;0,2767;0,5988972;0,1573117;1,300244;1,297633;0,002610387;8,944457
1900;1908,864;1900,133;22,06255;98,84421;5,724032;0,1814654;0,008928099;0,1778824;0,008639696;5,347116;2,34331;0,2939048;12,33829;11,25339;1,084905;0,9226788;0,2914574;0,6312214;0,1622259;1,363008;1,360377;0,002630782;8,724921
1950;1959,196;1950,144;22,62098;98,84539;5,977758;0,1906738;0,009538057;0,1871073;0,00933063;5,581106;2,373326;0,3025716;12,54004;11,40188;1,138164;0,9710045;0,3066087;0,6643958;0,1671598;1,427279;1,42467;0,002609442;8,513812
2000;2009,536;2000,155;23,18857;98,84607;6,237587;0,2001118;0,01001269;0,1965235;0,009733665;5,821208;2,403944;0,3114925;12,74334;11,55062;1,192716;1,020599;0,3221617;0,6984375;0,1721166;1,492201;1,489569;0,002632661;8,314295
2050;2059,885;2050,167;23,83786;98,84276;6,50299;0,2097494;0,010581;0,2061883;0,01008568;6,066384;2,435479;0,3207067;12,9787;11,7016;1,277096;1,100345;0,3472403;0,7531043;0,1767512;1,599994;1,594731;0,005262561;8,128348
2100;2110,243;2100,18;24,43;98,84231;6,773183;0,2196103;0,01099326;0,2160468;0,01044526;6,316087;2,467704;0,3298648;13,19048;11,85486;1,335614;1,153839;0,3640109;0,7898286;0,181774;1,668769;1,6634;0,00536949;7,936554
2150;2160,61;2150,193;25,0321;98,84143;7,052802;0,2297774;0,0116052;0,2262151;0,01101788;6,574185;2,500983;0,3394003;13,40309;12,00758;1,395512;1,208769;0,3812258;0,8275437;0,1867427;1,735828;1,733087;0,002741508;7,711137
2200;2210,986;2200,206;25,65093;98,83984;7,338101;0,2401872;0,01219464;0,236612;0,01155323;6,837553;2,53751;0,3492083;13,61914;12,16256;1,456578;1,264981;0,3988256;0,8661552;0,1915969;1,806969;1,804349;0,002619821;7,518634
2250;2261,371;2250,221;26,27955;98,83789;7,629818;0,2508098;0,01278052;0,2472405;0,01209294;7,106894;2,572476;0,3592866;13,83821;12,31928;1,518933;1,322504;0,4168401;0,9056641;0,1964285;1,879755;1,877262;0,002492931;7,319708
2300;2311,765;2300,236;26,91819;98,8356;7,927809;0,2616879;0,0133779;0,2581165;0,01270742;7,381919;2,608433;0,3696772;14,05764;12,47502;1,582623;1,381331;0,4352708;0,9460602;0,2012916;1,954632;1,952056;0,002576086;7,162516
2350;2362,168;2350,251;27,5667;98,83299;8,231625;0,2727959;0,0140305;0,2692499;0,01344178;7,662106;2,645371;0,3807091;14,27782;12,63015;1,647665;1,441486;0,4541366;0,9873493;0,2061786;2,031179;2,028557;0,002621707;7,063576
2400;2412,58;2400,268;28,22651;98,83003;8,542686;0,2841433;0,01461587;0,2806036;0,01392199;7,949401;2,683129;0,3919414;14,49901;12,78499;1,714025;1,502939;0,473407;1,029532;0,2110864;2,109739;2,107181;0,002557578;6,948526
2450;2463,002;2450,285;28,89695;98,82676;8,859237;0,295712;0,01518098;0,2921687;0,01437308;8,241802;2,723468;0,4032977;14,7205;12,9388;1,781706;1,565686;0,4930935;1,072592;0,2160208;2,190445;2,18796;0,002485166;6,83269
2500;2513,432;2500,303;29,57909;98,82316;9,18266;0,3075398;0,01588203;0,303987;0,01487987;8,540371;2,763947;0,4152131;14,94385;13,0931;1,850749;1,629777;0,5132196;1,116557;0,2209719;2,273417;2,270948;0,002469034;6,752091
2550;2563,871;2550,321;30,42275;98,81341;9,511716;0,3196019;0,01654686;0,3160541;0,01548672;8,844026;2,804615;0,4270073;15,22949;13,25089;1,978602;1,752994;0,5519755;1,201018;0,2256081;2,449921;2,447485;0,002435584;6,62976
2600;2614,319;2600,34;31,12784;98,80933;9,846904;0,3319003;0,0171457;0,3283623;0,01610757;9,153388;2,846263;0,439496;15,45626;13,40362;2,052639;1,82202;0,5736813;1,248339;0,2306188;2,538915;2,536458;0,002457895;6,579279
2650;2664,776;2650,36;31,84733;98,80488;10,18962;0,344449;0,01782099;0,3409174;0,01682898;9,469604;2,889027;0,4521365;15,68744;13,55938;2,128052;1,892398;0,595816;1,296582;0,2356537;2,629111;2,626689;0,002421629;6,514456
2700;2715,242;2700,381;32,58591;98,79989;10,54557;0,35725;0,0186136;0,3538767;0,01756565;9,798265;2,932933;0,4657282;15,92095;13,71597;2,204979;1,964267;0,618448;1,345819;0,2407122;2,720733;2,71835;0,002382691;6,440476
2750;2765,717;2750,402;33,32766;98,79497;10,90305;0,3702183;0,01927112;0,3669613;0,01826442;10,12833;2,977669;0,4787754;16,15396;13,87079;2,283174;2,03738;0,6414788;1,395901;0,2457941;2,814206;2,81186;0,002346187;6,365212
2800;2816,201;2800,424;34,07263;98,79012;11,26047;0,3834301;0,01998853;0,3801205;0,01898183;10,45794;3,025443;0,4909995;16,38704;14,02435;2,362686;2,111781;0,6649359;1,446845;0,2509053;2,908687;2,906413;0,002274352;6,24815
