"Time / s","Input_power","Output_power","Losses","Efficency","Caps_losses","FL1_losses","HF1_losses","FL2_losses","HF2_losses","Bulkcap_losses","GaN_total_losses","GaN_switching_losses","GaN_ohmic_losses","L_losses","iTHD","Load_average1:16","Load_average1:17","Load_average1:18"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000001,1099.8007236447309,1159.1196608438293,4580.2495219462826,-211129779946173.63,4571.7956038847924,0.32262734114625546,0.016181580258509728,0.31946418458828801,0.016345233962050381,4571.3640003995124,5.9289769472979765,5.0798806886762513,0.84909625862047677,1.2011550836134284,1.3531839978315663,1.3237201142822534,6.5926263309562744e-05,1.3237860405446746
0.20000000000000001,1506.4158852066266,1469.6872153980901,12.94275089531043,99.117664806524033,1.0814058388042695,0.11329534866022128,0.0037236076285682962,0.11085660051755532,0.0045424144763300048,0.81172246921058622,9.5025224138302011,8.9366304094925084,0.5658920043577903,1.2442615676607887,0.19349275967882809,1.1142197192155536,0.00034135580820891033,1.1145610750229147
0.30000000000000004,1477.8156911013855,1452.2828985508779,12.457010740369594,99.155381147478963,1.0316149326034545,0.11046500827509954,0.0035614385562185804,0.10794989546193266,0.0043836959612403329,0.80319142149921641,9.3303544535419185,8.8048161823298816,0.52553827120811258,1.2022628231275323,0.18627093462650335,0.89255335170243788,0.00022517937661531158,0.89277853107961103
0.40000000000000002,1459.8632487686825,1449.8620159128809,12.354104448009499,99.153672836438844,1.0252711358933717,0.10946430515221722,0.0040977808269049747,0.10665365695604176,0.0043071513986382192,0.80138422255539832,9.27157309481235,8.7573203075528543,0.51425278725335721,1.1980153698369791,0.18982747628430754,0.85916535914934722,7.9488305439546141e-05,0.85924484745481111
0.5,1454.4849258768925,1449.8574471165223,12.33481458839977,99.151943474634336,1.0241854928809784,0.10894755906534828,0.0040682576907339644,0.1061408634376355,0.0042836664406258936,0.8011378361893785,9.2581501697182524,8.7465604905903902,0.51158967914131048,1.1973952522587117,0.190406666095016,0.8550047316982895,7.8941854761885311e-05,0.85508367355393478
0.60000000000000009,1453.3759268526264,1449.9892081380324,12.333166370307968,99.151412346732315,1.0241927610520225,0.10880537860337706,0.0040568449526500435,0.10600489113296774,0.00430061110485993,0.80114100687256273,9.2563267549074233,8.7448236736289608,0.51150308129636002,1.1974248815509025,0.19045994335352243,0.85514301908483747,7.8953682149222906e-05,0.85522197276603817
0.70000000000000007,1453.240276548237,1450.0411351675659,12.333982337467114,99.151277133512536,1.0242552986579581,0.108778753985548,0.0040616337540844089,0.10597953300418554,0.0043022999999912858,0.80115594415724445,9.2567430832734221,8.7447743655734786,0.51196871768514207,1.197480441960262,0.19045298394950538,0.85542455821578234,7.8955358759254148e-05,0.85550351357653265
0.80000000000000004,1453.2488411249203,1450.0541767422355,12.334723591220159,99.151231141094371,1.0242716253747044,0.10877352135452764,0.0040601307038815619,0.10597662598771763,0.0043021720504476339,0.80116162701292959,9.2573509174835884,8.7448655676004527,0.5124853498680646,1.1974960687954657,0.19044327861064447,0.85552602418518175,7.8955400936394076e-05,0.85560497958626192
0.90000000000000013,1453.259768468936,1450.0564025473777,12.335296745658013,99.151198084669147,1.0242743300753752,0.10877161427269577,0.0040599333450635688,0.1059766944307389,0.0043021716614423883,0.80116302187474986,9.2578956056182538,8.7449258883842944,0.51296971720528828,1.1974988846872212,0.19043479480067405,0.85554896993031426,7.8955365622055532e-05,0.85562792529482579
1,1453.2635820554963,1450.0565494163152,12.33578817012563,99.151166496437682,1.0242739990462257,0.10877087045313864,0.0040599637771761747,0.10597714719564501,0.0043022097176682005,0.80116325551807732,9.258383168912264,8.7449631877723721,0.51341998115104592,1.197499551526616,0.19043419455011343,0.85555249523584675,7.8955391844972911e-05,0.85563145062766144
1.1000000000000001,1453.2644703899953,1450.056483039175,12.336232487676197,99.151136443756187,1.0242721255577232,0.10876943190865224,0.0040599456785221193,0.10597683838361642,0.0043021938242732392,0.80116326589137676,9.258830705015292,8.7449919281905419,0.51383877683124979,1.1974991522746488,0.19043058416955322,0.85555154938099365,7.8955445609535564e-05,0.85563050482604375
1.2000000000000002,1453.2646065746021,1450.0564487639406,12.336646550998292,99.151108031169912,1.0242698843547999,0.10876801344533446,0.0040599334990658945,0.10597654900255025,0.0043021826542667049,0.8011632576058525,9.259247849796779,8.7450174724006224,0.51423037739733579,1.1974988180191179,0.19042944417446842,0.85555104331816401,7.8955506781662661e-05,0.85562999882401769
1.3,1453.2646105277086,1450.0564390082479,12.337037750615524,99.151081114921382,1.0242699090881002,0.10876723253779978,0.0040599810479857376,0.10597691597353066,0.0043022264741920278,0.80116325515613063,9.2596381692051022,8.7450411815023266,0.5145969877024118,1.1974991574733693,0.19043136097191665,0.85555155924024484,7.8955570898395756e-05,0.85563051480988139
