filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
1650;1,000000e+00;8,302180e+01;8,301833e+01;8,303496e+01;8,301146e+01;8,298630e+01;8,299327e+01;7,929157e+01;2,986448e+01;3,019745e+01;2,972532e+01;3,005252e+01
1700;1,000000e+00;8,303407e+01;8,303256e+01;8,304954e+01;8,302613e+01;8,300014e+01;8,300518e+01;7,930428e+01;2,998579e+01;3,031974e+01;2,984144e+01;3,016958e+01
1750;1,000000e+00;8,304676e+01;8,304661e+01;8,306426e+01;8,304062e+01;8,301431e+01;8,301744e+01;7,931712e+01;3,010968e+01;3,044440e+01;2,996003e+01;3,028892e+01
1800;1,000000e+00;8,306023e+01;8,306053e+01;8,307915e+01;8,305546e+01;8,302822e+01;8,303049e+01;7,933022e+01;3,023634e+01;3,057199e+01;3,008127e+01;3,041106e+01
1850;1,000000e+00;8,307247e+01;8,307468e+01;8,309447e+01;8,307082e+01;8,304283e+01;8,304287e+01;7,934333e+01;3,036577e+01;3,070251e+01;3,020515e+01;3,053600e+01
1900;1,000000e+00;8,308727e+01;8,308948e+01;8,310940e+01;8,308575e+01;8,305734e+01;8,305642e+01;7,935697e+01;3,049799e+01;3,083593e+01;3,033169e+01;3,066372e+01
1950;1,000000e+00;8,310236e+01;8,310402e+01;8,312473e+01;8,310083e+01;8,307198e+01;8,307150e+01;7,937096e+01;3,063326e+01;3,097219e+01;3,046116e+01;3,079414e+01
2000;1,000000e+00;8,311789e+01;8,311878e+01;8,313983e+01;8,311485e+01;8,308525e+01;8,308660e+01;7,938465e+01;3,076974e+01;3,111003e+01;3,059178e+01;3,092608e+01
2050;1,000000e+00;8,798002e+01;8,797951e+01;8,800052e+01;8,797768e+01;8,794817e+01;8,794925e+01;8,393498e+01;3,303748e+01;3,338526e+01;3,281621e+01;3,315786e+01
2100;1,000000e+00;8,799517e+01;8,799514e+01;8,801634e+01;8,799315e+01;8,796349e+01;8,796518e+01;8,394953e+01;3,318324e+01;3,353144e+01;3,295573e+01;3,329780e+01
2150;1,000000e+00;8,801063e+01;8,801055e+01;8,803216e+01;8,800908e+01;8,797951e+01;8,798083e+01;8,396423e+01;3,332674e+01;3,367557e+01;3,309314e+01;3,343581e+01
2200;1,000000e+00;8,802593e+01;8,802578e+01;8,804859e+01;8,802585e+01;8,799510e+01;8,799637e+01;8,397902e+01;3,347705e+01;3,382708e+01;3,323703e+01;3,358085e+01
2250;1,000000e+00;8,804058e+01;8,804204e+01;8,806499e+01;8,804250e+01;8,801189e+01;8,801125e+01;8,399393e+01;3,363099e+01;3,398206e+01;3,338438e+01;3,372920e+01
2300;1,000000e+00;8,805793e+01;8,805772e+01;8,808112e+01;8,805908e+01;8,802799e+01;8,802886e+01;8,400943e+01;3,378918e+01;3,414058e+01;3,353580e+01;3,388093e+01
2350;1,000000e+00;8,807528e+01;8,807323e+01;8,809739e+01;8,807509e+01;8,804426e+01;8,804640e+01;8,402485e+01;3,395103e+01;3,430256e+01;3,369072e+01;3,403597e+01
2400;1,000000e+00;8,809233e+01;8,808833e+01;8,811348e+01;8,808996e+01;8,806013e+01;8,806328e+01;8,403980e+01;3,411646e+01;3,446878e+01;3,384906e+01;3,419507e+01
2450;1,000000e+00;8,810903e+01;8,810350e+01;8,812819e+01;8,810806e+01;8,807365e+01;8,808042e+01;8,405466e+01;3,428567e+01;3,463861e+01;3,401100e+01;3,435759e+01
2500;1,000000e+00;8,812633e+01;8,812190e+01;8,814640e+01;8,812667e+01;8,809178e+01;8,809789e+01;8,407151e+01;3,445902e+01;3,481257e+01;3,417687e+01;3,452404e+01
2550;1,000000e+00;9,444631e+01;9,444140e+01;9,446690e+01;9,444720e+01;9,441170e+01;9,441807e+01;8,998650e+01;3,819550e+01;3,856059e+01;3,784207e+01;3,820056e+01
2600;1,000000e+00;9,446554e+01;9,446023e+01;9,448589e+01;9,446658e+01;9,443063e+01;9,443745e+01;9,000438e+01;3,838232e+01;3,874779e+01;3,802085e+01;3,837970e+01
2650;1,000000e+00;9,448487e+01;9,447970e+01;9,450528e+01;9,448575e+01;9,445010e+01;9,445695e+01;9,002251e+01;3,857148e+01;3,893763e+01;3,820189e+01;3,856138e+01
2700;1,000000e+00;9,450409e+01;9,449892e+01;9,452456e+01;9,450533e+01;9,446933e+01;9,447635e+01;9,004059e+01;3,876380e+01;3,912999e+01;3,838593e+01;3,874545e+01
2750;1,000000e+00;9,452315e+01;9,451822e+01;9,454418e+01;9,452484e+01;9,448856e+01;9,449538e+01;9,005863e+01;3,895951e+01;3,932617e+01;3,857321e+01;3,893318e+01
2800;1,000000e+00;9,454319e+01;9,453802e+01;9,456295e+01;9,454411e+01;9,450852e+01;9,451534e+01;9,007699e+01;3,915758e+01;3,952438e+01;3,876276e+01;3,912285e+01
2850;1,000000e+00;9,456321e+01;9,455828e+01;9,458303e+01;9,456397e+01;9,452869e+01;9,453520e+01;9,009574e+01;3,935874e+01;3,972575e+01;3,895526e+01;3,931553e+01
2900;1,000000e+00;9,458269e+01;9,457879e+01;9,460290e+01;9,458427e+01;9,454906e+01;9,455496e+01;9,011449e+01;3,956328e+01;3,993058e+01;3,915098e+01;3,951152e+01
2950;1,000000e+00;9,460156e+01;9,459895e+01;9,462300e+01;9,460459e+01;9,456915e+01;9,457451e+01;9,013305e+01;3,977226e+01;4,013970e+01;3,935094e+01;3,971160e+01
3000;1,000000e+00;9,462112e+01;9,461976e+01;9,464274e+01;9,462472e+01;9,458972e+01;9,459408e+01;9,015182e+01;3,998586e+01;4,035316e+01;3,955531e+01;3,991583e+01
3050;1,000000e+00;1,009447e+02;1,009439e+02;1,009675e+02;1,009487e+02;1,009141e+02;1,009185e+02;9,607064e+01;4,414380e+01;4,452382e+01;4,363189e+01;4,400489e+01
3100;1,000000e+00;1,009637e+02;1,009649e+02;1,009874e+02;1,009694e+02;1,009347e+02;1,009388e+02;9,608956e+01;4,437142e+01;4,475162e+01;4,384968e+01;4,422284e+01
3150;1,000000e+00;1,009849e+02;1,009857e+02;1,010083e+02;1,009901e+02;1,009561e+02;1,009594e+02;9,610915e+01;4,460258e+01;4,498296e+01;4,407085e+01;4,444418e+01
3200;1,000000e+00;1,010060e+02;1,010076e+02;1,010302e+02;1,010114e+02;1,009772e+02;1,009800e+02;9,612910e+01;4,483737e+01;4,521802e+01;4,429548e+01;4,466907e+01
3250;1,000000e+00;1,010264e+02;1,010294e+02;1,010514e+02;1,010326e+02;1,009988e+02;1,010008e+02;9,614890e+01;4,507555e+01;4,545665e+01;4,452335e+01;4,489736e+01
3300;1,000000e+00;1,010459e+02;1,010508e+02;1,010727e+02;1,010540e+02;1,010200e+02;1,010205e+02;9,616830e+01;4,531655e+01;4,569780e+01;4,475392e+01;4,512807e+01
3350;1,000000e+00;1,010663e+02;1,010727e+02;1,010940e+02;1,010753e+02;1,010419e+02;1,010413e+02;9,618819e+01;4,555989e+01;4,594161e+01;4,498671e+01;4,536131e+01
3400;1,000000e+00;1,010878e+02;1,010944e+02;1,011160e+02;1,010970e+02;1,010642e+02;1,010626e+02;9,620855e+01;4,580679e+01;4,618876e+01;4,522290e+01;4,559774e+01
3450;1,000000e+00;1,011088e+02;1,011166e+02;1,011383e+02;1,011190e+02;1,010863e+02;1,010842e+02;9,622899e+01;4,605566e+01;4,643809e+01;4,546098e+01;4,583626e+01
3500;1,000000e+00;1,011299e+02;1,011389e+02;1,011601e+02;1,011406e+02;1,011087e+02;1,011050e+02;9,624925e+01;4,630840e+01;4,669142e+01;4,570274e+01;4,607859e+01
3550;1,000000e+00;1,089157e+02;1,089249e+02;1,089456e+02;1,089264e+02;1,088950e+02;1,088908e+02;1,035360e+02;5,104953e+01;5,144655e+01;5,034939e+01;5,073896e+01
3600;1,000000e+00;1,089372e+02;1,089475e+02;1,089685e+02;1,089491e+02;1,089175e+02;1,089123e+02;1,035569e+02;5,131499e+01;5,171251e+01;5,060333e+01;5,099339e+01
3650;1,000000e+00;1,089592e+02;1,089702e+02;1,089917e+02;1,089720e+02;1,089408e+02;1,089345e+02;1,035781e+02;5,158351e+01;5,198135e+01;5,086020e+01;5,125056e+01
3700;1,000000e+00;1,089813e+02;1,089933e+02;1,090151e+02;1,089954e+02;1,089637e+02;1,089568e+02;1,035995e+02;5,185524e+01;5,225364e+01;5,112013e+01;5,151101e+01
3750;1,000000e+00;1,090033e+02;1,090159e+02;1,090384e+02;1,090185e+02;1,089864e+02;1,089786e+02;1,036206e+02;5,213065e+01;5,252952e+01;5,138356e+01;5,177490e+01
3800;1,000000e+00;1,090257e+02;1,090390e+02;1,090621e+02;1,090422e+02;1,090097e+02;1,090011e+02;1,036422e+02;5,240899e+01;5,280811e+01;5,164979e+01;5,204138e+01
3850;1,000000e+00;1,090484e+02;1,090613e+02;1,090857e+02;1,090657e+02;1,090331e+02;1,090238e+02;1,036638e+02;5,268972e+01;5,308943e+01;5,191830e+01;5,231046e+01
3900;1,000000e+00;1,090716e+02;1,090848e+02;1,091095e+02;1,090898e+02;1,090552e+02;1,090471e+02;1,036856e+02;5,297325e+01;5,337329e+01;5,218949e+01;5,258195e+01
3950;1,000000e+00;1,090951e+02;1,091091e+02;1,091334e+02;1,091133e+02;1,090793e+02;1,090704e+02;1,037079e+02;5,325962e+01;5,366018e+01;5,246338e+01;5,285634e+01
4000;1,000000e+00;1,091180e+02;1,091338e+02;1,091576e+02;1,091374e+02;1,091042e+02;1,090934e+02;1,037303e+02;5,354919e+01;5,395020e+01;5,274032e+01;5,313372e+01
4050;1,000000e+00;1,181244e+02;1,181404e+02;1,181641e+02;1,181440e+02;1,181115e+02;1,181000e+02;1,121596e+02;5,968974e+01;6,010867e+01;5,875774e+01;5,916871e+01
4100;1,000000e+00;1,181484e+02;1,181661e+02;1,181894e+02;1,181692e+02;1,181372e+02;1,181240e+02;1,121830e+02;5,999191e+01;6,041167e+01;5,904675e+01;5,945853e+01
4150;1,000000e+00;1,181722e+02;1,181915e+02;1,182151e+02;1,181948e+02;1,181627e+02;1,181477e+02;1,122063e+02;6,029650e+01;6,071712e+01;5,933806e+01;5,975067e+01
4200;1,000000e+00;1,181964e+02;1,182170e+02;1,182407e+02;1,182203e+02;1,181885e+02;1,181719e+02;1,122298e+02;6,060387e+01;6,102501e+01;5,963203e+01;6,004514e+01
4250;1,000000e+00;1,182209e+02;1,182428e+02;1,182670e+02;1,182465e+02;1,182140e+02;1,181964e+02;1,122536e+02;6,091326e+01;6,133489e+01;5,992794e+01;6,034151e+01
4300;1,000000e+00;1,182457e+02;1,182687e+02;1,182926e+02;1,182720e+02;1,182400e+02;1,182211e+02;1,122774e+02;6,122472e+01;6,164692e+01;6,022581e+01;6,063992e+01
4350;1,000000e+00;1,182700e+02;1,182944e+02;1,183179e+02;1,182969e+02;1,182657e+02;1,182454e+02;1,123008e+02;6,153609e+01;6,195944e+01;6,052354e+01;6,093875e+01
4400;1,000000e+00;1,182943e+02;1,183196e+02;1,183431e+02;1,183224e+02;1,182914e+02;1,182697e+02;1,123242e+02;6,185031e+01;6,227020e+01;6,082401e+01;6,123581e+01
4450;1,000000e+00;1,183187e+02;1,183452e+02;1,183684e+02;1,183477e+02;1,183168e+02;1,182938e+02;1,123476e+02;6,216627e+01;6,258295e+01;6,112613e+01;6,153476e+01
4500;1,000000e+00;1,183425e+02;1,183710e+02;1,183938e+02;1,183732e+02;1,183426e+02;1,183181e+02;1,123711e+02;6,248430e+01;6,289636e+01;6,143022e+01;6,183434e+01
4550;1,000000e+00;1,278451e+02;1,278737e+02;1,278966e+02;1,278761e+02;1,278456e+02;1,278208e+02;1,212647e+02;6,872271e+01;6,914869e+01;6,754146e+01;6,795923e+01
4600;1,000000e+00;1,278708e+02;1,279005e+02;1,279231e+02;1,279027e+02;1,278725e+02;1,278465e+02;1,212894e+02;6,905012e+01;6,947267e+01;6,785453e+01;6,826894e+01
4650;1,000000e+00;1,278968e+02;1,279276e+02;1,279502e+02;1,279294e+02;1,278996e+02;1,278725e+02;1,213143e+02;6,937915e+01;6,979868e+01;6,816913e+01;6,858058e+01
4700;1,000000e+00;1,279227e+02;1,279544e+02;1,279767e+02;1,279562e+02;1,279265e+02;1,278985e+02;1,213391e+02;6,970869e+01;7,012707e+01;6,848420e+01;6,889451e+01
4750;1,000000e+00;1,279488e+02;1,279817e+02;1,280040e+02;1,279834e+02;1,279536e+02;1,279244e+02;1,213642e+02;7,003444e+01;7,046035e+01;6,879551e+01;6,921320e+01
4800;1,000000e+00;1,279747e+02;1,280087e+02;1,280311e+02;1,280106e+02;1,279806e+02;1,279502e+02;1,213891e+02;7,036205e+01;7,079596e+01;6,910860e+01;6,953413e+01
4850;1,000000e+00;1,280011e+02;1,280368e+02;1,280591e+02;1,280382e+02;1,280087e+02;1,279765e+02;1,214148e+02;7,069154e+01;7,113254e+01;6,942350e+01;6,985597e+01
4900;1,000000e+00;1,280278e+02;1,280649e+02;1,280867e+02;1,280657e+02;1,280369e+02;1,280033e+02;1,214405e+02;7,102223e+01;7,147020e+01;6,973953e+01;7,017884e+01
4950;1,000000e+00;1,280547e+02;1,280933e+02;1,281143e+02;1,280937e+02;1,280653e+02;1,280302e+02;1,214664e+02;7,135397e+01;7,180977e+01;7,005658e+01;7,050355e+01
5000;1,000000e+00;1,280814e+02;1,281215e+02;1,281411e+02;1,281213e+02;1,280936e+02;1,280569e+02;1,214920e+02;7,168587e+01;7,214835e+01;7,037375e+01;7,082724e+01
5050;1,000000e+00;1,329762e+02;1,330172e+02;1,330362e+02;1,330166e+02;1,329896e+02;1,329519e+02;1,260735e+02;7,533876e+01;7,581935e+01;7,394770e+01;7,441896e+01
