W;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;GaN_total_losses;GaN_switching_losses;GaN_ohmic_losses;L_losses;iTHD;Load_average1:16;Load_average1:17;Load_average1:18
2450;2;2454,8815368484688;2450,2703697350394;17,433418458824981;99,289846855451245;1,4088048898960361;0,29151219234173825;0,012618759838350585;0,28855778732149551;0,013180888053597056;0,80293497112584078;12,148154690944116;10,832843401950237;1,3153112890046466;1,4907049856212213;0,11278645071300018;2,3856749194076077;7,8972964388773648e-05;2,3857538923719925
2500;2;2504,986494969653;2500,2872277762262;17,72393973351415;99,292453682302721;1,4333352223466338;0,30314078239260978;0,013240061610629659;0,30017347570982739;0,013732920456509045;0,80304769114071328;12,297318544567464;10,93236782594281;1,3649507186422127;1,5103145276636905;0,11067258054903335;2,4828922118060168;7,9227112473847976e-05;2,4829714389187254
2550;2;2555,0940262455779;2550,3047728486026;18,022502619315478;99,29464425170643;1,4582962525695087;0,31500190106777914;0,013775099865681633;0,31201704795216972;0,014339252796560578;0,80316265983859325;12,449448716274313;11,033843643577363;1,4156050727150622;1,5325920552868846;0,10865812359760553;2,5820865722917361;7,9022901625148609e-05;2,5821655951914768
2600;2;2605,203820931662;2600,3230137237369;18,323868041090563;99,296643592309948;1,4839851196246934;0,32711945627334721;0,014481776865847822;0,32409605455456303;0,015007583212148012;0,80327995791300233;12,603274075796135;11,136080263587369;1,4671938122037835;1,5532776734395655;0,10672738808198733;2,68325212666607;7,904558956618038e-05;2,6833311722508588
2650;2;2655,3160366629418;2650,3419593429917;18,631066359471646;99,298348442268775;1,5098718794956891;0,33944029825452526;0,015096014728757878;0,33639508500524679;0,015540737887613419;0,80339945287912284;12,760224813632917;11,240480418172757;1,5197443954745848;1,5744992493939072;0,1048790908341513;2,7863913489806977;7,9067972500462491e-05;2,7864704169532852
2700;2;2705,4305491417485;2700,3616152059535;18,944327993789482;99,299766613219319;1,5360105658021976;0,35197028754886467;0,015519236043328727;0,34892130852200431;0,016078364415608552;0,80352107854643418;12,920469226817138;11,347242642284922;1,5732265845382634;1,596293162116144;0,10306012388220746;2,8914759502094802;7,9088848088806362e-05;2,891555039054301
2750;2;2755,5475795579591;2750,3819794479436;19,272854981923199;99,300579852210092;1,5633480716831734;0,36477509188560336;0,016273992089228379;0,36171037788242866;0,016943428971422446;0,80364488973695036;13,092031267280515;11,464317891672527;1,6277133756151922;1,618790016947506;0,10143523628402937;2,9986065192857523;7,9106721338483693e-05;2,998685626004808
2800;2;2805,667027320033;2800,4031130838903;19,594137851108776;99,301622835898598;1,5909117908599013;0,37780344114646941;0,016990712808884083;0,37471960636950219;0,017626690375597911;0,8037710492120983;13,253711996095262;11,570647946945444;1,683064049125889;1,6418437305645086;0,099680736799709069;3,1075912099857175;7,9123615441196332e-05;3,1076703335986022
2850;2;2855,7889664111417;2850,4250074555544;19,917631141336162;99,302552417471546;1,6188914868031834;0,39106712539383331;0,017656862211728457;0,38796130415948221;0,018306428473053325;0,80389947563421327;13,414597830443084;11,675251222024471;1,739346608416481;1,6655061847189607;0,09799890282562225;3,2185522508620883;8,3388552672124423e-05;3,2186356394080549
2900;2;2905,9135712080715;2900,4476776974921;20,246547862279879;99,303263936203166;1,647358210738874;0,40456534493505092;0,018349322332903886;0,4014432508235663;0,018969808089507059;0,80403019365232042;13,575961018035034;11,779371431186188;1,7965895868462185;1,6916542415536813;0,096393677335676622;3,3314952385915708;7,9153389404017081e-05;3,3315743919749443
2950;2;2956,0405849346262;2950,4711381016141;20,575138668406396;99,303962917539323;1,6762545643084805;0,41829715302895298;0,018919545007400888;0,41516994602488294;0,019704398830340746;0,8041632305109937;13,73595033465255;11,881169446313153;1,854780888330692;1,7163997448331059;0,094915041837841385;3,4464548591978064;7,9165428016741128e-05;3,4465340246196661
3000;2;3006,1700871965641;3000,4954017177433;20,908715194919836;99,304473314761921;1,7057977745616086;0,43228908624460699;0,019702423131423466;0,42912462386979916;0,020382840123089625;0,80429851030649724;13,897766832596918;11,983858781962109;1,9139080506703117;1,7417075714280907;0,093453751147463196;3,5633638393902189;7,9176926460432096e-05;3,5634430163185664
3050;2;3056,3022479393344;3050,5204815869056;21,246344098159224;99,304834982209371;1,7357092538827841;0,4465111996443441;0,020444942315278918;0,44331540906354727;0,021001327807413723;0,80443608418363854;14,060606085503039;12,086579038881325;1,9740270465987868;1,7676085296722681;0,092184945215863956;3,6823410419362936;7,9187177606268559e-05;3,6824202291031076
3100;2;3106,4368034929171;3100,5463913719586;21,588518222269901;99,305039195831071;1,7660640543875594;0,4609521182524921;0,021028724513760484;0,45775101183775857;0,021756037740926545;0,80457587130008479;14,225103531310943;12,190025224726739;2,035078306587045;1,7940442237873255;0,090866303236569509;3,8032272165543604;7,9196237685071812e-05;3,8033064127954384
