"Time / s","Input_power","Output_power","Losses","Efficency","Caps_losses","FL1_losses","HF1_losses","FL2_losses","HF2_losses","Bulkcap_losses","GaN_total_losses","GaN_switching_losses","GaN_ohmic_losses","L_losses","iTHD","Load_average1:16","Load_average1:17","Load_average1:18"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000001,1614.52641472393,1596.2824877744367,4582.6697371509363,-84.343660285621169,4571.8752757816801,0.41306569411952915,0.020400152970298645,0.40991293879773555,0.020748612307781356,4571.3409746583202,7.9196070718029086,6.7186788794846768,1.2009281923137265,1.263861676126639,0.65471979218056342,1.6107395653232655,0.00025306224814066505,1.610992627570359
0.20000000000000001,2112.1166156132349,2137.5516403554411,16.164281488085177,99.231756553394959,1.3251354070310379,0.21285726133760063,0.0058991954394836694,0.21064357116933982,0.0092930689254151315,0.81277462224499963,11.253835679669546,10.251734694789132,1.0021009848866262,1.4284676493372568,0.13488459890661095,2.1564752141609902,0.00036753789537480991,2.1568427520551658
0.30000000000000004,2120.1890625637193,2104.8903494466399,15.575756507944444,99.265096843774373,1.260198977807361,0.21769131962858063,0.0075913370207173021,0.21519294004121312,0.0095223338425877452,0.80419297949543611,11.126176007033868,10.13444760686491,0.99172840016310193,1.3737259394398704,0.12893151717876047,1.8155557119028436,9.9871773725812972e-05,1.8156555836734849
0.40000000000000002,2108.4062757530191,2100.3279944438491,15.465116703437671,99.266492102791275,1.2530197694969925,0.21739142844083306,0.0090736130636708042,0.21450934306005892,0.009510369787219454,0.80243935423477775,11.078980937494116,10.096191701853936,0.98278923564844212,1.3667559982837503,0.13073095778846022,1.7662811342775333,7.8863905545380333e-05,1.7663599981844429
0.5,2104.882809456376,2100.0651496756509,15.447363926534262,99.266117443561541,1.2515674224765323,0.21696092957437799,0.0090190667365668484,0.21407956266774963,0.0094774850575623203,0.80221234707552513,11.069661399719619,10.088422284218625,0.98123911549617704,1.3656617221684997,0.13092807356272138,1.7603944822550395,7.8899931082997721e-05,1.760473382185175
0.60000000000000009,2104.2677712196542,2100.1358609816721,15.446844163308167,99.265927824025795,1.251503176948348,0.21685763756855159,0.0090210026429400417,0.21398196549850299,0.0094915083776849277,0.80220408406613408,11.069390769822558,10.087337552212976,0.98205321760229958,1.3656039667442348,0.130958471039642,1.7602673426420634,7.8907166260143018e-05,1.760346249804619
0.70000000000000007,2104.2069063741537,2100.164125049449,15.448145830392169,99.265844732829819,1.2514927334018844,0.2168385055023537,0.009009487592763564,0.21396585968350193,0.009479921976070475,0.80220896690183396,11.07054128720198,10.08729737729119,0.98324390990479082,1.365617123666552,0.13095431462976789,1.7604157780295004,7.8908099693483284e-05,1.7604946861316597
0.80000000000000004,2104.2093719343857,2100.1698284672361,15.449393033160502,99.265786321193133,1.2514887517298827,0.21683522480966236,0.0090045712776471633,0.21396370766009662,0.0094752565673910834,0.80221060899677288,11.071743328520425,10.08733456978328,0.98440875874120626,1.3656213034902382,0.13095075389586627,1.7604607412448303,7.8908180608518996e-05,1.7605396494292076
0.90000000000000013,2104.2120057476686,2100.1705334027724,15.450502398772876,99.265734519106417,1.2514773283970444,0.21683309688512745,0.0089997104599781521,0.21396270407960524,0.0094706412141720552,0.8022109148428882,11.072857009999533,10.087358511839911,0.98549849817933588,1.3656204427641794,0.13094998098993807,1.7604687093825344,7.8908220999907648e-05,1.7605476176046482
